"experiment_id","field2","field3","field4","field5","field6","field7","field8"
"EXP-DRAW-20260816-001-V1","NUMBER RELATION LAB","DRAW","숫자 관계망 구조","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-002-V1","NUMBER RELATION LAB","DRAW","숫자 동시출현 관계망 (EXP-001)","MISSING","FAILED","NONE","false"
"EXP-DRAW-20260816-003-V1","NUMBER RELATION LAB","DRAW","조건부 관계망","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-004-V1","NUMBER RELATION LAB","DRAW","A 출현 후 다음 회차 B 관계","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-005-V1","NUMBER RELATION LAB","DRAW","2회 간격 관계","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-006-V1","NUMBER RELATION LAB","DRAW","3개 숫자 관계망","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-007-V1","NUMBER RELATION LAB","DRAW","최근100 관계망","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-008-V1","NUMBER RELATION LAB","DRAW","최근50 관계망","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-009-V1","NUMBER RELATION LAB","DRAW","전체 관계망","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-010-V1","TRANSITION LAB","DRAW","NUMBER 1-STEP TRANSITION / ROUND TRACE (EXP-003)","MISSING","FAILED","NONE","false"
"EXP-DRAW-20260816-011-V1","TRANSITION LAB","DRAW","회차 간 흔적 구조","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-012-V1","TRANSITION LAB","DRAW","격회 재출현 (EXP-005)","MISSING","FAILED","NONE","false"
"EXP-DRAW-20260816-013-V1","TRANSITION LAB","DRAW","같은 끝자리 회차 전이 (EXP-006)","MISSING","FAILED","NONE","false"
"EXP-DRAW-20260816-014-V1","TRANSITION LAB","DRAW","끝수 전이","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-015-V1","STRUCTURE LAB","DRAW","결손 회복속도","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-016-V1","STRUCTURE LAB","DRAW","결손 회복 전환점","HOLD","REGISTERED","NONE","false"
"EXP-DRAW-20260816-017-V1","STRUCTURE LAB","DRAW","가변 전멸구간 (EXP-004)","MISSING","FAILED","NONE","false"
"EXP-DRAW-20260816-018-V1","STRUCTURE LAB","DRAW","다중 전멸구간 상호작용","HOLD","REGISTERED","NONE","false"
"EXP-DRAW-20260816-019-V1","STRUCTURE LAB","DRAW","이동×가변 전멸 교차","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-020-V1","STRUCTURE LAB","DRAW","최근10 강도 지속","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-021-V1","STRUCTURE LAB","DRAW","비전멸 전용 엔진","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-022-V1","STRUCTURE LAB","DRAW","구간별 복귀우선 전이","HOLD","REGISTERED","NONE","false"
"EXP-DRAW-20260816-023-V1","SIMILAR ROUND LAB","DRAW","쌍둥이 유사 회차","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-024-V1","SIMILAR ROUND LAB","DRAW","구조형 쌍둥이 회차 전이","HOLD","REGISTERED","NONE","false"
"EXP-DRAW-20260816-025-V1","SIMILAR ROUND LAB","DRAW","유사 회차 이후 다음 회차 전이 (EXP-007)","HOLD","FAILED","NONE","false"
"EXP-DRAW-20260816-026-V1","SPACING LAB","DRAW","숫자 간격 구조 (EXP-008)","MISSING","FAILED","NONE","false"
"EXP-DRAW-20260816-027-V1","SPACING LAB","DRAW","간격 분산","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-028-V1","SPACING LAB","DRAW","등차수열형 구조","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-029-V1","SPACING LAB","DRAW","+13/+14 고정 간격","MISSING","REGISTERED","NONE","false"
"EXP-DRAW-20260816-030-V1","ROLE AND AUDIT LAB","DRAW","숫자 역할 구조","PARTIAL","REGISTERED","NONE","false"
"EXP-DRAW-20260816-031-V1","ROLE AND AUDIT LAB","DRAW","특정 UNIT 일시 강세","PARTIAL","REGISTERED","NONE","false"
"EXP-DRAW-20260816-032-V1","ROLE AND AUDIT LAB","DRAW","NUMBER 역할","PARTIAL","REGISTERED","NONE","false"
"EXP-DRAW-20260816-033-V1","ROLE AND AUDIT LAB","DRAW","역할 충돌","PARTIAL","REGISTERED","NONE","false"
"EXP-DRAW-20260816-034-V1","ROLE AND AUDIT LAB","DRAW","실패 원인 복기","PARTIAL","REGISTERED","NONE","false"
"EXP-DRAW-20260816-035-V1","ROLE AND AUDIT LAB","DRAW","전체 엔진 귀무감사","PARTIAL","REGISTERED","NONE","false"
"EXP-DRAW-20260816-036-V1","ROLE AND AUDIT LAB","DRAW","placebo/permutation","PARTIAL","REGISTERED","NONE","false"
"EXP-DRAW-20260816-037-V1","ROLE AND AUDIT LAB","DRAW","과최적화 방지","PARTIAL","REGISTERED","NONE","false"
"EXP-DRAW-20260816-038-V1","NO-PICK COVERAGE LAB","DRAW","NO-PICK COVERAGE & QUALIFIED RESEARCH FALLBACK (EXP-002)","NEW_REGISTERED","DESIGNED","NONE","false"
"EXP-DRAW-20260816-038-V2","NO-PICK COVERAGE LAB","DRAW","NO-PICK COVERAGE & NUMBER-RANK FALLBACK (EXP-002 V2)","PROTOCOL_REVISION","FAILED","NONE","false"
"EXP-DRAW-20260821-039-V1","SERIAL COMPOSITION LAB","DRAW","홀수 개수 lag-1 공분산 (EXP-009)","LOCAL_SETTLEMENT","FAILED_EARLY","NONE","false"
"EXP-DRAW-20260821-040-V1","SERIAL COMPOSITION LAB","DRAW","추첨 합계 lag-1 공분산 (EXP-010)","LOCAL_SETTLEMENT","FAILED_EARLY","NONE","false"
"EXP-DRAW-20260821-041-V1","TRANSITION LAB","DRAW","미러 보수 전이 (EXP-011)","LOCAL_SETTLEMENT","FAILED_EARLY","NONE","false"
"EXP-DRAW-20260821-042-V1","RETURN LAB","DRAW","개별 숫자 return-age rank (EXP-012)","LOCAL_SETTLEMENT","FAILED_EARLY","NONE","false"
