round,broadcast_date,page_title,content_type,broadcast_id,official_url,access_status,classification,p1,p2,p3,p4,p5,p6,bonus,canonical_main_sorted,set_match,confidence,evidence_locator,ambiguity
836,2018-12-08,"[836회] 행복드림 로또6/45 당첨번호",official_hot_clip,1003945100001100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100001100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,28,9,1,14,11,26,19,"1 9 11 14 26 28",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
850,2019-03-16,"[850회] 행복드림 로또6/45 당첨번호",official_hot_clip,1003945100015100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100015100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,28,24,20,36,39,16,5,"16 20 24 28 36 39",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
875,2019-09-07,"[875회] 행복드림 로또 6/45",official_hot_clip,1003945100040100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100040100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,22,34,19,44,39,30,36,"19 22 30 34 39 44",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
900,2020-02-29,"[900회] 행복드림 로또 6/45",official_hot_clip,1003945100090100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100090100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,13,16,18,35,38,7,14,"7 13 16 18 35 38",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
950,2021-02-13,"[950회] 행복드림 로또 6/45",official_hot_clip,1003945100190100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100190100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,22,4,28,3,15,40,10,"3 4 15 22 28 40",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
1000,2022-01-29,"[1000회] 행복드림 로또 6/45",official_hot_clip,1003945100290100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100290100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,19,2,8,22,42,32,39,"2 8 19 22 32 42",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
1050,2023-01-14,"[1050회] 행복드림 로또 6/45",official_hot_clip,1003945100394100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100394100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,12,6,38,43,31,35,17,"6 12 31 35 38 43",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
1100,2023-12-30,"[1100회] 행복드림 로또 6/45",official_hot_clip,1003945100495100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100495100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,31,29,26,17,30,43,12,"17 26 29 30 31 43",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
1150,2024-12-14,"[1150회] 행복드림 로또 6/45",official_hot_clip,1003945100595100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100595100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,45,18,39,35,9,8,25,"8 9 18 35 39 45",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
1200,2025-11-29,"[1200회] 행복드림 로또 6/45",official_hot_clip,1003945100695100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100695100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,20,4,32,16,2,1,45,"1 2 4 16 20 32",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
1225,2026-05-23,"[1225회] 행복드림 로또 6/45",official_hot_clip,1003945100746100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100746100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,42,8,25,41,9,19,33,"8 9 19 25 41 42",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
1238,2026-08-22,"[1238회] 행복드림 로또 6/45",official_hot_clip,1003945100772100001,https://playvod.imbc.com/Templete/ClipView?bid=1003945100772100001,ACCESSIBLE,PASS_TRUE_ORDER_EXTRACTABLE,2,13,32,42,18,38,22,"2 13 18 32 38 42",PASS,HIGH,"official ClipView player terminal frame; six MAIN circles left-to-right before separately colored bonus circle",0
