source_id,source_family,scope,official_url,observed_at_kst,provenance_status,coverage_evidence,notes
MBC_LOTTO_PROGRAM,MBC_iMBC_OFFICIAL,program_home,https://program.imbc.com/lotto,2026-08-25,PASS,"official program navigation exposes 다시보기 and 로또추첨영상","MBC/iMBC first-party domain"
MBC_LOTTO_CLIP_ARCHIVE,MBC_iMBC_OFFICIAL,clip_archive,https://playvod.imbc.com/templete/ClipList?bid=1003945100000100000,2026-08-25,PASS,"dense official per-round hot-clip listings span 836 through 1238; all 12 prespecified samples present","quasi-continuous archive; inclusive span 403 rounds"
MBC_SAMPLE_836,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100001100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100001100001
MBC_SAMPLE_850,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100015100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100015100001
MBC_SAMPLE_875,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100040100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100040100001
MBC_SAMPLE_900,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100090100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100090100001
MBC_SAMPLE_950,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100190100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100190100001
MBC_SAMPLE_1000,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100290100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100290100001
MBC_SAMPLE_1050,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100394100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100394100001
MBC_SAMPLE_1100,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100495100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100495100001
MBC_SAMPLE_1150,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100595100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100595100001
MBC_SAMPLE_1200,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100695100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100695100001
MBC_SAMPLE_1225,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100746100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100746100001
MBC_SAMPLE_1238,MBC_iMBC_OFFICIAL,official_hot_clip,https://playvod.imbc.com/Templete/ClipView?bid=1003945100772100001,2026-08-25,PASS,"terminal video frame retains non-sorted MAIN extraction order",broadcast_id=1003945100772100001
