round,number_input_count,number_pass_count,number_candidate_count,number_gate,trio_raw_candidate_count,trio_valid_count,trio_gate,pair_raw_candidate_count,pair_valid_count,pair_gate,core_raw_candidate_count,core_available_count,core_gate,pair_ready,pair_test_ready,pair_research_hold,pair_system_hold,official_stop_stage,official_output_available,root_cause_morphology,row_hash
369,45,0,12,PASS,220,11,PASS,20,0,PASS,20,0,FAIL,0,0,0,20,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,d07932109a1ff048f3e3d62d10fbd10f118b04dbd7562b7d04e29087bfc0e2c2
370,45,0,12,PASS,220,3,PASS,0,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,PAIR_STAGE_STOP,False,PAIR_BOTTLENECK,ef3b2f487b0ca88afd8da5161657f0a9ef2e102c84c292c3bd5af48aa399e44a
371,45,0,12,PASS,12,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,a51d1483bf2943747d3d34bcaf9ba1394a34a53267177773a5b8264e50c57968
372,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,9cd893f0b67f7c9e6674cef8f2f12580c5cafdf25313ce7fdaf78544261db800
373,45,0,12,PASS,47,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,96632d5b572d1563e8450e930a7211dea6c5d4ff57f4f0c4dc75f36e17d57e7b
374,45,0,12,PASS,71,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,1fe1da006ee7379a7c0931cf018daa79de682fdead2a2f5473bb80d6ab7d3ccf
375,45,0,9,PASS,84,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,ea94aab86c872efacadd5224367e0e2a73200e43629a5281173f5e484e4ba8b0
376,45,0,12,PASS,220,10,PASS,4,0,PASS,4,0,FAIL,0,0,0,4,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,4fbd0dab5c22ff5418a58c805cb7d52dbe85aab7aa735dee85879f4f0f1bab8f
377,45,2,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,aa6fe189cb0d99d1e2e02ab128d2bf5aeacd128eca711ad777c0780bce8327bf
378,45,0,12,PASS,220,12,PASS,11,0,PASS,11,0,FAIL,0,0,0,11,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,72c35215e9b0575197395c64192a4f1f45a1284a3e9ebe053b9207dac615c9df
379,45,0,12,PASS,220,16,PASS,34,0,PASS,34,0,FAIL,0,0,0,34,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,0547de0411f0a3d73b6985b635b4232c0bb68ef4f3b86dc2d7957eedf175df3f
380,45,1,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,560e1a64e04b2aafc4598d3a075bf457a4eb73e8189a82a2c30fd5be2ab8cde2
381,45,0,10,PASS,120,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,d0d86d8a75bb039b72bd9a2eca5798328b202a0c394852024d07804eec2df90e
382,45,0,12,PASS,102,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,cc7f76e916d6bad59dfc71015b20be2061c6272999edaa74b980c673a5844212
383,45,0,12,PASS,206,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,54d1397f9775e521f694a4e288aebe60c1d03b19948ae6e61db4938e96b990e7
384,45,0,12,PASS,220,26,PASS,101,0,PASS,101,0,FAIL,0,0,0,101,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,4980388e7c7ac895c5e42fc578a20fcd9efe3f5e07cd6e477e7497f6d6d1b7f3
385,45,0,12,PASS,220,30,PASS,94,0,PASS,94,0,FAIL,0,0,0,94,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,6066017472ed460dca4e0fd0439cdf7d73af4567562c6946cf0205717806c4e3
386,45,0,12,PASS,165,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,5a1244ee4c857ea9ecffd64306e7a11ba19ffb3538d998bd8b72938c09e9effa
387,45,0,12,PASS,220,30,PASS,138,0,PASS,138,0,FAIL,0,0,0,138,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,53eaa769c317a81aba81b3ce0f38a4f9b5ebe6313ac74d7a035333b06e9bcd04
388,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,13133ac01b8b1c112ada3141cfe32340a8ab7b557cc6770cec0a6e05378fcd41
389,45,0,12,PASS,220,55,PASS,551,0,PASS,551,0,FAIL,0,0,0,551,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,f107af19db9b8e4f04390afbe28509418be779bdf86cc7b574e0805559795528
