evaluation_round,canonical_pair_key,max_outcome_round_used,sample_count,integrated_primary_evidence,main_primary_evidence,integrated_support_evidence,recent_state,pg01,pg06,pg07,pg08,pair_state,core_eligible
369,1-12-33__19-32-45,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT_SAMPLE,FAIL,FAIL,FAIL,FAIL,PAIR_RESEARCH_HOLD,0
369,1-12-33__20-32-45,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT_SAMPLE,FAIL,FAIL,FAIL,FAIL,PAIR_RESEARCH_HOLD,0
369,1-12-33__5-19-38,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT_SAMPLE,FAIL,FAIL,FAIL,FAIL,PAIR_RESEARCH_HOLD,0
369,1-12-33__5-20-38,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT_SAMPLE,FAIL,FAIL,FAIL,FAIL,PAIR_RESEARCH_HOLD,0
369,1-19-38__12-33-45,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT_SAMPLE,FAIL,FAIL,FAIL,FAIL,PAIR_RESEARCH_HOLD,0
369,1-19-38__20-32-45,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT_SAMPLE,FAIL,FAIL,FAIL,FAIL,PAIR_RESEARCH_HOLD,0
369,1-19-38__20-33-45,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT_SAMPLE,FAIL,FAIL,FAIL,FAIL,PAIR_RESEARCH_HOLD,0
369,1-19-38__5-12-33,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT_SAMPLE,FAIL,FAIL,FAIL,FAIL,PAIR_RESEARCH_HOLD,0
369,1-20-38__12-33-45,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT_SAMPLE,FAIL,FAIL,FAIL,FAIL,PAIR_RESEARCH_HOLD,0
369,1-20-38__19-32-45,0,0,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT_SAMPLE,FAIL,FAIL,FAIL,FAIL,PAIR_RESEARCH_HOLD,0
