k,rounds,observations,hits,hit_rate,delta_random,ci95_lower,ci95_upper,average_pool_size,average_main_hits_per_round,minimum_sample_pass,lower_ci_gt_zero
1,8,8,1,0.125,-0.008333333333333331,-0.13333333333333333,0.24166666666666667,1.0,0.125,False,False
2,11,14,1,0.07142857142857142,-0.06190476190476191,-0.13333333333333333,0.11666666666666667,1.2727272727272727,0.09090909090909091,False,False
3,11,14,1,0.07142857142857142,-0.06190476190476191,-0.13333333333333333,0.11666666666666667,1.2727272727272727,0.09090909090909091,False,False
4,13,22,1,0.045454545454545456,-0.08787878787878788,-0.13333333333333333,0.033333333333333326,1.6923076923076923,0.07692307692307693,False,False
5,13,22,1,0.045454545454545456,-0.08787878787878788,-0.13333333333333333,0.033333333333333326,1.6923076923076923,0.07692307692307693,False,False
6,16,40,2,0.05,-0.08333333333333333,-0.13333333333333333,-0.005128205128205138,2.5,0.125,False,False
7,16,40,2,0.05,-0.08333333333333333,-0.13333333333333333,-0.008333333333333331,2.5,0.125,False,False
8,16,40,2,0.05,-0.08333333333333333,-0.13333333333333333,-0.008333333333333331,2.5,0.125,False,False
9,17,49,3,0.061224489795918366,-0.07210884353741497,-0.13333333333333333,-0.008333333333333331,2.8823529411764706,0.17647058823529413,False,False
10,18,59,6,0.1016949152542373,-0.03163841807909604,-0.11292517006802721,0.04976525821596245,3.2777777777777777,0.3333333333333333,False,False
11,19,70,8,0.11428571428571428,-0.01904761904761905,-0.09559748427672957,0.04935897435897435,3.6842105263157894,0.42105263157894735,False,False
12,21,94,9,0.09574468085106383,-0.0375886524822695,-0.09885057471264368,0.025545171339563855,4.476190476190476,0.42857142857142855,False,False
13,23,120,12,0.1,-0.033333333333333326,-0.08333333333333333,0.0163265306122449,5.217391304347826,0.5217391304347826,False,False
14,24,134,13,0.09701492537313433,-0.036318407960199,-0.08109452736318408,0.009523809523809518,5.583333333333333,0.5416666666666666,False,False
15,29,209,22,0.10526315789473684,-0.028070175438596495,-0.058503401360544216,0.003230543318649054,7.206896551724138,0.7586206896551724,False,False
16,36,321,42,0.1308411214953271,-0.002492211838006242,-0.030012300123001226,0.02469775474956823,8.916666666666666,1.1666666666666667,False,False
17,53,610,80,0.13114754098360656,-0.0021857923497267673,-0.021052631578947364,0.016348195329087045,11.50943396226415,1.509433962264151,False,False
18,81,1114,143,0.12836624775583483,-0.0049670855774985034,-0.019246031746031747,0.009791082008107271,13.753086419753087,1.7654320987654322,False,False
19,98,1437,181,0.12595685455810718,-0.007376478775226153,-0.02021744159148739,0.005305947796320071,14.66326530612245,1.846938775510204,False,False
20,132,2117,279,0.13179026924893716,-0.0015430640843961674,-0.011921568627450974,0.009169149288315137,16.03787878787879,2.1136363636363638,True,False
21,174,2999,399,0.13304434811603869,-0.0002889852172946461,-0.010091538289796823,0.009619912546249582,17.235632183908045,2.293103448275862,True,False
22,223,4077,550,0.13490311503556537,0.0015697817022320426,-0.006442166910688135,0.009774436090225574,18.282511210762333,2.4663677130044843,True,False
23,278,5342,736,0.13777611381505053,0.004442780481717201,-0.0027070165357849785,0.011629811629811637,19.215827338129497,2.647482014388489,True,False
24,337,6758,938,0.13879846108316068,0.005465127749827353,-0.000839783477513012,0.011589881218627307,20.05341246290801,2.7833827893175074,True,False
25,398,8283,1135,0.13702764698780634,0.003694313654473008,-0.0018022386551905245,0.009263311451495254,20.811557788944725,2.851758793969849,True,False
26,461,9921,1356,0.1366797701844572,0.003346436851123874,-0.0014930414808809467,0.008198683423099928,21.52060737527115,2.941431670281996,True,False
27,529,11757,1596,0.1357489155396785,0.0024155822063451626,-0.002122608574221474,0.006976222521309999,22.224952741020793,3.0170132325141776,True,False
28,584,13297,1801,0.13544408513198467,0.0021107517986513336,-0.001989597535726917,0.006250628077580145,22.768835616438356,3.083904109589041,True,False
29,635,14776,2009,0.1359637249593936,0.002630391626060269,-0.0013146167557932242,0.006608750308662759,23.269291338582676,3.163779527559055,True,False
30,682,16186,2203,0.13610527616458667,0.0027719428312533434,-0.000875991198571846,0.0064748943190019725,23.733137829912025,3.230205278592375,True,False
31,716,17240,2352,0.13642691415313224,0.003093580819798908,-0.00039764562294533623,0.006595417469680148,24.078212290502794,3.2849162011173183,True,False
32,741,18040,2447,0.1356430155210643,0.002309682187730977,-0.001138590070607376,0.005747954415322942,24.345479082321187,3.3022941970310393,True,False
33,750,18337,2487,0.13562741997055133,0.0022940866372180013,-0.001097858992595846,0.005681096288229437,24.449333333333332,3.316,True,False
34,768,18949,2561,0.1351522507784052,0.0018189174450718715,-0.0014599824098504854,0.005096308897276414,24.673177083333332,3.3346354166666665,True,False
35,774,19159,2590,0.1351845085860431,0.0018511752527097802,-0.0014555134920223312,0.0051217552318065795,24.753229974160206,3.34625322997416,True,False
36,782,19447,2626,0.1350336812876022,0.001700347954268877,-0.0016108477341081617,0.004950256463217312,24.86828644501279,3.3580562659846547,True,False
