exact_n,rounds,candidate_observations,main_hits,candidate_hit_rate,delta_random,average_main_hits_per_round
0,51,0,0,,,0.0
1,34,34,4,0.11764705882352941,-0.01568627450980392,0.11764705882352941
2,25,50,6,0.12,-0.013333333333333336,0.24
3,10,30,3,0.1,-0.033333333333333326,0.3
4,18,72,13,0.18055555555555555,0.04722222222222222,0.7222222222222222
5,7,35,5,0.14285714285714285,0.009523809523809518,0.7142857142857143
6,3,18,1,0.05555555555555555,-0.07777777777777778,0.3333333333333333
7,2,14,3,0.21428571428571427,0.08095238095238094,1.5
8,0,0,0,,,
9,1,9,1,0.1111111111111111,-0.022222222222222227,1.0
10,2,20,4,0.2,0.06666666666666668,2.0
11,1,11,2,0.18181818181818182,0.04848484848484849,2.0
12,4,48,6,0.125,-0.008333333333333331,1.5
13,4,52,3,0.057692307692307696,-0.07564102564102564,0.75
14,5,70,6,0.08571428571428572,-0.047619047619047616,1.2
15,7,105,15,0.14285714285714285,0.009523809523809518,2.142857142857143
16,11,176,28,0.1590909090909091,0.025757575757575757,2.5454545454545454
17,27,459,59,0.12854030501089325,-0.004793028322440079,2.185185185185185
18,45,810,101,0.12469135802469136,-0.00864197530864197,2.2444444444444445
19,39,741,90,0.1214574898785425,-0.011875843454790827,2.3076923076923075
20,57,1140,154,0.13508771929824562,0.0017543859649122862,2.7017543859649122
21,74,1554,208,0.13384813384813385,0.0005148005148005175,2.810810810810811
22,75,1650,228,0.13818181818181818,0.004848484848484852,3.04
23,79,1817,254,0.13979086406164007,0.006457530728306737,3.2151898734177213
24,87,2088,291,0.13936781609195403,0.006034482758620702,3.3448275862068964
25,85,2125,278,0.1308235294117647,-0.002509803921568632,3.2705882352941176
26,80,2080,281,0.13509615384615384,0.0017628205128205066,3.5125
27,86,2322,310,0.1335055986218777,0.00017226528854435985,3.604651162790698
28,63,1764,237,0.13435374149659865,0.0010204081632653184,3.761904761904762
29,57,1653,231,0.1397459165154265,0.006412583182093173,4.052631578947368
30,50,1500,206,0.13733333333333334,0.0040000000000000036,4.12
31,37,1147,162,0.14123801220575413,0.0079046788724208,4.378378378378378
32,25,800,95,0.11875,-0.014583333333333337,3.8
33,10,330,43,0.1303030303030303,-0.003030303030303022,4.3
34,19,646,79,0.12229102167182662,-0.01104231166150671,4.157894736842105
35,6,210,29,0.1380952380952381,0.004761904761904773,4.833333333333333
36,8,288,36,0.125,-0.008333333333333331,4.5
37,7,259,30,0.11583011583011583,-0.017503217503217497,4.285714285714286
38,4,152,20,0.13157894736842105,-0.0017543859649122862,5.0
39,4,156,22,0.14102564102564102,0.007692307692307693,5.5
40,5,200,26,0.13,-0.003333333333333327,5.2
41,1,41,5,0.12195121951219512,-0.011382113821138212,5.0
42,4,168,21,0.125,-0.008333333333333331,5.25
43,3,129,18,0.13953488372093023,0.006201550387596899,6.0
44,2,88,12,0.13636363636363635,0.003030303030303022,6.0
45,12,540,72,0.13333333333333333,0.0,6.0
