round,date,main_1,main_2,main_3,main_4,main_5,main_6,bonus,k1,k2,k3,total_sales_krw,price_per_game_krw,sold_lines,source_file,source_file_sha256
1,20021207,10,23,29,33,37,40,16,0,1,28,3681782000,2000,1840891,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
2,20021214,9,13,21,25,32,42,2,1,2,103,4904274000,2000,2452137,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
3,20021221,11,16,19,21,27,31,30,1,0,139,4729342000,2000,2364671,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
4,20021228,14,27,30,31,40,42,2,0,1,29,5271464000,2000,2635732,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
5,20030104,16,24,29,40,41,42,3,0,0,42,6277102000,2000,3138551,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
6,20030111,14,15,26,27,40,42,34,1,3,138,15305356000,2000,7652678,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
7,20030118,2,9,16,25,26,40,42,0,9,270,12794890000,2000,6397445,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
8,20030125,8,19,25,34,37,39,9,0,6,348,20751450000,2000,10375725,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
9,20030201,2,4,16,17,36,39,14,0,4,352,73624020000,2000,36812010,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
10,20030208,9,25,30,33,41,44,6,13,236,11247,260856392000,2000,130428196,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
11,20030215,1,7,36,37,41,42,14,5,11,428,91925306000,2000,45962653,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
12,20030222,2,11,21,25,39,45,44,12,27,1903,76255508000,2000,38127754,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
13,20030301,22,23,25,37,38,42,26,0,6,450,66532136000,2000,33266068,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
14,20030308,2,6,12,31,33,40,15,4,28,1421,99838648000,2000,49919324,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
15,20030315,3,4,16,30,31,37,13,1,16,509,73264910000,2000,36632455,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
16,20030322,6,7,24,37,38,40,33,4,12,862,75777348000,2000,37888674,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
