round,date,k1,k2,k3,k4,k5,sales,price,sold_lines,source_file,source_sha256
1,20021207,0,1,28,2537,40155,3681782000,2000,1840891,api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
2,20021214,1,2,103,3763,55480,4904274000,2000,2452137,api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
3,20021221,1,0,139,5940,73256,4729342000,2000,2364671,api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
4,20021228,0,1,29,2777,52382,5271464000,2000,2635732,api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
5,20030104,0,0,42,3043,60434,6277102000,2000,3138551,api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
6,20030111,1,3,138,13445,176375,15305356000,2000,7652678,api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
7,20030118,0,9,270,13229,206259,12794890000,2000,6397445,api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
8,20030125,0,6,348,14279,248242,20751450000,2000,10375725,api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
9,20030201,0,4,352,23672,603375,73624020000,2000,36812010,api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
10,20030208,13,236,11247,703234,3410846,260856392000,2000,130428196,api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
11,20030215,5,11,428,38515,612805,91925306000,2000,45962653,api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
12,20030222,12,27,1903,76845,1115084,76255508000,2000,38127754,api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
13,20030301,0,6,450,29601,726751,66532136000,2000,33266068,api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
14,20030308,4,28,1421,77736,1341756,99838648000,2000,49919324,api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
15,20030315,1,16,509,39202,827538,73264910000,2000,36632455,api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
16,20030322,4,12,862,47255,870770,75777348000,2000,37888674,api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
17,20030329,3,9,1142,61651,961162,72718152000,2000,36359076,api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
18,20030405,0,15,664,38453,693323,66371660000,2000,33185830,api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
19,20030412,1,14,697,55154,1135991,105957818000,2000,52978909,api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
20,20030419,1,14,888,48158,827470,81056776000,2000,40528388,api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
21,20030426,23,26,2008,82996,1155368,84247142000,2000,42123571,api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
22,20030503,4,32,827,53248,937961,79455152000,2000,39727576,api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
23,20030510,4,23,1372,63717,990081,77374256000,2000,38687128,api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
24,20030517,0,18,925,52777,755905,78486634000,2000,39243317,api-0122.json,76ae116eee92011cee8c0c408a14094203b9fb551abe88a8be7fc020fbaaca9d
