target_round,candidate_size,candidate_hits,round_score,raw_rank_sum,centered_score_x2,future_leakage_flag
201,21,3,-17.5,15.5,-35,0
202,17,2,5,23,10,0
203,17,3,-8.5,18.5,-17,0
204,18,3,2,30.5,4,0
205,18,0,0,0,0,0
206,17,2,3.5,21.5,7,0
207,18,3,-13.5,15,-27,0
208,18,2,5,24,10,0
209,13,2,-6,8,-12,0
210,21,4,-3.5,40.5,-7,0
211,21,5,-7,48,-14,0
212,17,3,-15.5,11.5,-31,0
213,8,1,3,7.5,6,0
214,18,1,7.5,17,15,0
215,11,1,-3,3,-6,0
216,18,2,8,27,16,0
217,11,2,-0.5,11.5,-1,0
218,20,1,-4,6.5,-8,0
219,12,2,4.5,17.5,9,0
220,21,3,-7,26,-14,0
221,18,2,12,31,24,0
222,17,3,2.5,29.5,5,0
223,16,3,9.5,35,19,0
224,20,1,3,13.5,6,0
225,20,1,7,17.5,14,0
226,17,2,-5.5,12.5,-11,0
227,17,3,7.5,34.5,15,0
228,13,4,10.5,38.5,21,0
229,16,3,-3.5,22,-7,0
230,22,3,7,41.5,14,0
231,23,4,-1.5,46.5,-3,0
232,17,2,-14.5,3.5,-29,0
233,16,3,5,30.5,10,0
234,20,3,1,32.5,2,0
235,22,2,-9,14,-18,0
236,12,1,0.5,7,1,0
237,21,5,3.5,58.5,7,0
238,8,3,1,14.5,2,0
239,18,4,-7,31,-14,0
240,13,0,0,0,0,0
241,12,0,0,0,0,0
242,21,3,3.5,36.5,7,0
243,17,3,6.5,33.5,13,0
244,11,2,0.5,12.5,1,0
245,16,1,0,8.5,0,0
246,16,3,2.5,28,5,0
247,16,2,2.5,19.5,5,0
248,20,3,-18,13.5,-36,0
249,12,1,-0.5,6,-1,0
250,17,3,-2,25,-4,0
251,16,2,3.5,20.5,7,0
252,15,3,2.5,26.5,5,0
253,22,4,28.5,74.5,57,0
254,21,3,-3.5,29.5,-7,0
255,17,0,0,0,0,0
256,22,4,1,47,2,0
257,9,2,-3.5,6.5,-7,0
258,17,0,0,0,0,0
259,16,1,6.5,15,13,0
260,9,3,-4,11,-8,0
261,17,0,0,0,0,0
262,12,0,0,0,0,0
263,18,2,-6.5,12.5,-13,0
264,16,1,-5.5,3,-11,0
265,16,3,8.5,34,17,0
266,16,1,7.5,16,15,0
267,18,3,-5,23.5,-10,0
268,16,0,0,0,0,0
269,22,4,3,49,6,0
270,21,2,-2,20,-4,0
271,21,2,2.5,24.5,5,0
272,15,3,3,27,6,0
273,12,0,0,0,0,0
274,8,1,1,5.5,2,0
275,17,1,5,14,10,0
276,16,3,8,33.5,16,0
277,18,3,-6.5,22,-13,0
278,17,3,10,37,20,0
279,12,2,5,18,10,0
280,11,1,1,7,2,0
281,21,6,1,67,2,0
282,13,1,4.5,11.5,9,0
283,17,3,-9,18,-18,0
284,12,1,-3,3.5,-6,0
285,17,2,15,33,30,0
286,17,2,-5.5,12.5,-11,0
287,22,3,-4,30.5,-8,0
288,17,1,-3,6,-6,0
289,17,3,4,31,8,0
290,17,4,-6.5,29.5,-13,0
291,17,2,13.5,31.5,27,0
292,16,3,2,27.5,4,0
293,22,2,0.5,23.5,1,0
294,12,1,5.5,12,11,0
295,10,2,-1,10,-2,0
296,17,1,-4,5,-8,0
297,16,2,-8,9,-16,0
298,20,3,-5.5,26,-11,0
299,11,3,-1,17,-2,0
300,17,2,-1.5,16.5,-3,0
301,19,1,9,19,18,0
302,8,0,0,0,0,0
303,16,2,1,18,2,0
304,21,2,3.5,25.5,7,0
305,17,2,-13.5,4.5,-27,0
306,16,1,-4,4.5,-8,0
307,17,1,-2.5,6.5,-5,0
308,9,0,0,0,0,0
309,12,1,-1,5.5,-2,0
310,17,2,-9.5,8.5,-19,0
311,17,2,5.5,23.5,11,0
312,12,1,2,8.5,4,0
313,17,3,3,30,6,0
314,17,2,0.5,18.5,1,0
315,21,3,10,43,20,0
316,9,3,0,15,0,0
317,11,0,0,0,0,0
318,21,3,20.5,53.5,41,0
319,21,3,-2,31,-4,0
320,13,3,-0.5,20.5,-1,0
321,17,1,-1.5,7.5,-3,0
322,22,2,-16,7,-32,0
323,12,1,1,7.5,2,0
324,17,3,11.5,38.5,23,0
325,23,3,-5,31,-10,0
326,17,1,2,11,4,0
327,12,2,-6,7,-12,0
328,17,1,-6.5,2.5,-13,0
329,15,1,4.5,12.5,9,0
330,16,1,3,11.5,6,0
331,20,4,-16.5,25.5,-33,0
332,12,3,3,22.5,6,0
333,17,3,8,35,16,0
334,21,3,-21,12,-42,0
335,13,4,-7,21,-14,0
336,12,2,3.5,16.5,7,0
337,13,1,1,8,2,0
338,22,5,19,76.5,38,0
339,18,2,-2,17,-4,0
340,20,5,-5,47.5,-10,0
341,11,3,3,21,6,0
342,17,3,9,36,18,0
343,9,1,1.5,6.5,3,0
344,16,0,0,0,0,0
345,18,1,5.5,15,11,0
346,17,4,1,37,2,0
347,14,3,5,27.5,10,0
348,12,1,4.5,11,9,0
349,17,1,0.5,9.5,1,0
350,13,1,1,8,2,0
351,17,1,7,16,14,0
352,16,3,-3,22.5,-6,0
353,16,2,1.5,18.5,3,0
354,12,0,0,0,0,0
355,17,3,-0.5,26.5,-1,0
356,16,3,9,34.5,18,0
357,17,1,5,14,10,0
358,20,2,11.5,32.5,23,0
359,12,2,10,23,20,0
360,12,1,3,9.5,6,0
361,17,3,-2.5,24.5,-5,0
362,16,2,-7,10,-14,0
363,12,2,-8,5,-16,0
364,13,1,1.5,8.5,3,0
365,21,4,-13.5,30.5,-27,0
366,12,0,0,0,0,0
367,21,4,-19.5,24.5,-39,0
368,18,3,3,31.5,6,0
369,17,3,-5.5,21.5,-11,0
370,21,2,5,27,10,0
371,17,2,-2.5,15.5,-5,0
372,16,1,-2.5,6,-5,0
373,12,1,0,6.5,0,0
374,17,3,6.5,33.5,13,0
375,18,3,11.5,40,23,0
376,16,2,-7.5,9.5,-15,0
377,17,1,0.5,9.5,1,0
378,21,2,10,32,20,0
379,18,1,-2.5,7,-5,0
380,17,3,3.5,30.5,7,0
381,16,2,-2.5,14.5,-5,0
382,17,3,-7,20,-14,0
383,17,3,8,35,16,0
384,21,2,-9.5,12.5,-19,0
385,17,2,-4.5,13.5,-9,0
386,12,1,-2.5,4,-5,0
387,16,2,9.5,26.5,19,0
388,17,0,0,0,0,0
389,16,2,3,20,6,0
390,15,4,10.5,42.5,21,0
391,14,2,4.5,19.5,9,0
392,16,3,10,35.5,20,0
393,22,3,-17,17.5,-34,0
394,20,3,8.5,40,17,0
395,22,4,-6,40,-12,0
396,12,2,8,21,16,0
397,17,1,5,14,10,0
398,13,3,-7,14,-14,0
399,18,1,0,9.5,0,0
400,12,3,0,19.5,0,0
401,17,1,-1,8,-2,0
402,17,2,-1,17,-2,0
403,12,0,0,0,0,0
404,16,2,12,29,24,0
405,18,4,7,45,14,0
406,22,4,2,48,4,0
407,17,2,-8.5,9.5,-17,0
408,17,1,8,17,16,0
409,16,3,-2,23.5,-4,0
410,16,2,0.5,17.5,1,0
411,17,2,-4.5,13.5,-9,0
412,22,5,-5,52.5,-10,0
413,22,4,-9,37,-18,0
414,22,3,-10.5,24,-21,0
415,14,0,0,0,0,0
416,6,1,-2.5,1,-5,0
417,17,0,0,0,0,0
418,18,3,4,32.5,8,0
419,22,1,7.5,19,15,0
420,22,4,9,55,18,0
421,12,2,-4.5,8.5,-9,0
422,16,3,-2.5,23,-5,0
423,17,3,-2,25,-4,0
424,15,3,1.5,25.5,3,0
425,12,1,2.5,9,5,0
426,16,4,5.5,39.5,11,0
427,16,3,-1.5,24,-3,0
428,20,3,11.5,43,23,0
429,15,2,2.5,18.5,5,0
430,17,1,6,15,12,0
431,21,2,-10,12,-20,0
432,13,3,9,30,18,0
433,22,6,-13.5,55.5,-27,0
434,8,2,-1,8,-2,0
435,12,1,-4.5,2,-9,0
436,11,1,4,10,8,0
437,17,2,-7,11,-14,0
438,16,2,-4.5,12.5,-9,0
439,15,2,4,20,8,0
440,7,1,-0.5,3.5,-1,0
441,16,1,-3.5,5,-7,0
442,22,3,3.5,38,7,0
443,19,4,5.5,45.5,11,0
444,11,0,0,0,0,0
445,9,1,-1.5,3.5,-3,0
446,17,3,5,32,10,0
447,18,1,0,9.5,0,0
448,16,3,7.5,33,15,0
449,12,3,3,22.5,6,0
450,12,2,-10,3,-20,0
451,17,1,-0.5,8.5,-1,0
452,17,5,-1.5,43.5,-3,0
453,12,5,-1.5,31,-3,0
454,17,2,6,24,12,0
455,22,2,-8,15,-16,0
456,16,0,0,0,0,0
457,17,1,-3,6,-6,0
458,11,0,0,0,0,0
459,16,2,-2,15,-4,0
460,12,2,0,13,0,0
461,17,3,12.5,39.5,25,0
462,15,1,7,15,14,0
463,22,4,-14,32,-28,0
464,13,0,0,0,0,0
465,13,1,-6,1,-12,0
466,13,2,-8,6,-16,0
467,13,5,3,38,6,0
468,12,1,3.5,10,7,0
469,12,1,-5.5,1,-11,0
470,17,2,-7.5,10.5,-15,0
471,16,2,-7.5,9.5,-15,0
472,16,5,-5,37.5,-10,0
473,13,2,-4,10,-8,0
474,16,2,4.5,21.5,9,0
475,18,3,12,40.5,24,0
476,12,0,0,0,0,0
477,21,5,-4,51,-8,0
478,18,2,0.5,19.5,1,0
479,15,3,-3,21,-6,0
480,17,3,3,30,6,0
481,17,3,-7.5,19.5,-15,0
482,17,3,7,34,14,0
483,17,2,2.5,20.5,5,0
484,17,2,1,19,2,0
485,22,2,0.5,23.5,1,0
486,11,1,0,6,0,0
487,22,2,-10.5,12.5,-21,0
488,17,3,-3,24,-6,0
489,16,2,9,26,18,0
490,21,2,4.5,26.5,9,0
491,20,4,9.5,51.5,19,0
492,20,3,12,43.5,24,0
493,17,1,8,17,16,0
494,16,3,-5.5,20,-11,0
495,16,2,1.5,18.5,3,0
496,13,0,0,0,0,0
497,21,5,-12,43,-24,0
498,12,3,1,20.5,2,0
499,18,1,-7,2.5,-14,0
500,12,1,1,7.5,2,0
501,13,2,3.5,17.5,7,0
502,17,4,0,36,0,0
503,16,2,-0.5,16.5,-1,0
504,21,4,-7.5,36.5,-15,0
505,13,0,0,0,0,0
506,16,1,-3.5,5,-7,0
507,21,4,-17,27,-34,0
508,13,2,2.5,16.5,5,0
509,18,1,1.5,11,3,0
510,13,3,-7,14,-14,0
511,12,3,-2,17.5,-4,0
512,17,3,12,39,24,0
513,21,2,-14.5,7.5,-29,0
514,17,3,0,27,0,0
515,17,3,-3,24,-6,0
516,18,2,-8.5,10.5,-17,0
517,18,3,-5,23.5,-10,0
518,16,2,-13.5,3.5,-27,0
519,17,3,7.5,34.5,15,0
520,11,3,-4,14,-8,0
521,16,3,-13,12.5,-26,0
522,20,2,15,36,30,0
523,18,2,11,30,22,0
524,21,3,-10,23,-20,0
525,16,1,-1.5,7,-3,0
526,17,1,5,14,10,0
527,16,0,0,0,0,0
528,9,1,0,5,0,0
529,16,2,12,29,24,0
530,21,1,-9,2,-18,0
531,16,3,-6.5,19,-13,0
532,12,2,3,16,6,0
533,16,3,-8,17.5,-16,0
534,22,3,6.5,41,13,0
535,19,3,5,35,10,0
536,22,2,-5,18,-10,0
537,12,2,-2,11,-4,0
538,12,3,-8,11.5,-16,0
539,21,2,-5,17,-10,0
540,13,2,4.5,18.5,9,0
541,18,2,-0.5,18.5,-1,0
542,17,1,-8,1,-16,0
543,12,1,3.5,10,7,0
544,17,2,1,19,2,0
545,17,5,9.5,54.5,19,0
546,8,2,5.5,14.5,11,0
547,11,1,-3,3,-6,0
548,21,3,-11,22,-22,0
549,14,2,3,18,6,0
550,21,4,34,78,68,0
551,12,3,1.5,21,3,0
552,16,2,5,22,10,0
553,13,1,-4,3,-8,0
554,11,2,-2.5,9.5,-5,0
555,18,3,-9,19.5,-18,0
556,12,1,-1.5,5,-3,0
557,17,2,12.5,30.5,25,0
558,16,1,-3.5,5,-7,0
559,21,3,5,38,10,0
560,14,2,9,24,18,0
561,22,1,6.5,18,13,0
562,12,1,4.5,11,9,0
563,17,1,-0.5,8.5,-1,0
564,21,3,13,46,26,0
565,16,2,9.5,26.5,19,0
566,16,2,4,21,8,0
567,13,2,-8.5,5.5,-17,0
568,17,2,10.5,28.5,21,0
569,17,3,-2.5,24.5,-5,0
570,13,2,0,14,0,0
571,21,3,0,33,0,0
572,12,3,5,24.5,10,0
573,12,2,1.5,14.5,3,0
574,18,3,6.5,35,13,0
575,17,2,2,20,4,0
576,17,1,1,10,2,0
577,8,1,-1.5,3,-3,0
578,17,4,-1.5,34.5,-3,0
579,9,1,-4,1,-8,0
580,12,2,-5,8,-10,0
581,17,1,-1.5,7.5,-3,0
582,18,4,-6,32,-12,0
583,18,1,-3,6.5,-6,0
584,16,3,-8.5,17,-17,0
585,15,2,-4,12,-8,0
586,15,1,-6,2,-12,0
587,18,4,7,45,14,0
588,17,3,-18,9,-36,0
589,13,2,-11,3,-22,0
590,11,1,-0.5,5.5,-1,0
591,16,1,-0.5,8,-1,0
592,16,2,-8,9,-16,0
593,22,3,-22,12.5,-44,0
594,16,2,-7.5,9.5,-15,0
595,17,2,-9.5,8.5,-19,0
596,12,3,4,23.5,8,0
597,14,3,-3.5,19,-7,0
598,17,4,-8.5,27.5,-17,0
599,18,3,14,42.5,28,0
600,17,2,13,31,26,0
601,21,5,0.5,55.5,1,0
602,22,2,3.5,26.5,7,0
603,21,2,-1.5,20.5,-3,0
604,21,2,-11.5,10.5,-23,0
605,22,2,3.5,26.5,7,0
606,20,2,7.5,28.5,15,0
607,21,1,0,11,0,0
608,16,4,2.5,36.5,5,0
609,7,1,3,7,6,0
610,15,4,9,41,18,0
611,16,1,-3.5,5,-7,0
612,12,1,-4.5,2,-9,0
613,16,2,-2,15,-4,0
614,16,1,-6.5,2,-13,0
615,21,3,3,36,6,0
616,15,2,9,25,18,0
617,12,0,0,0,0,0
618,18,2,-1,18,-2,0
619,21,4,5.5,49.5,11,0
620,16,2,-4.5,12.5,-9,0
621,16,3,-9.5,16,-19,0
622,12,2,-9,4,-18,0
623,21,3,-7,26,-14,0
624,21,4,11,55,22,0
625,16,3,-7.5,18,-15,0
626,20,5,16,68.5,32,0
627,12,0,0,0,0,0
628,13,4,2,30,4,0
629,18,2,1.5,20.5,3,0
630,17,3,-4.5,22.5,-9,0
631,12,3,10.5,30,21,0
632,14,3,-6.5,16,-13,0
633,18,2,-9,10,-18,0
634,12,2,2,15,4,0
635,17,0,0,0,0,0
636,17,4,-8,28,-16,0
637,16,1,4.5,13,9,0
638,21,4,5,49,10,0
639,17,1,-4.5,4.5,-9,0
640,13,2,3.5,17.5,7,0
641,17,2,-4,14,-8,0
642,16,2,8,25,16,0
643,16,1,-2.5,6,-5,0
644,23,3,5.5,41.5,11,0
645,16,2,-2,15,-4,0
646,12,1,0.5,7,1,0
647,23,3,-10,26,-20,0
648,22,2,4,27,8,0
649,11,2,-4,8,-8,0
650,9,2,-0.5,9.5,-1,0
651,13,1,-3.5,3.5,-7,0
652,17,1,-7,2,-14,0
653,18,1,3.5,13,7,0
654,15,2,-6.5,9.5,-13,0
655,8,0,0,0,0,0
656,15,1,4,12,8,0
657,21,2,-3,19,-6,0
658,12,0,0,0,0,0
659,16,3,-1,24.5,-2,0
660,11,2,-3,9,-6,0
661,8,1,-2,2.5,-4,0
662,16,1,6.5,15,13,0
663,16,1,-0.5,8,-1,0
664,17,1,-1.5,7.5,-3,0
665,17,2,-9.5,8.5,-19,0
666,21,2,-6,16,-12,0
667,21,2,2,24,4,0
668,13,3,0,21,0,0
669,13,1,-2.5,4.5,-5,0
670,15,3,15,39,30,0
671,15,3,2,26,4,0
672,21,2,-9,13,-18,0
673,12,0,0,0,0,0
674,16,3,0.5,26,1,0
675,21,4,-1.5,42.5,-3,0
676,8,0,0,0,0,0
677,21,4,-11.5,32.5,-23,0
678,18,4,3,41,6,0
679,17,4,17.5,53.5,35,0
680,17,1,5,14,10,0
681,12,2,-1,12,-2,0
682,17,2,-1.5,16.5,-3,0
683,12,2,-3.5,9.5,-7,0
684,15,1,6,14,12,0
685,12,1,0.5,7,1,0
686,15,0,0,0,0,0
687,18,2,-4.5,14.5,-9,0
688,17,2,-10.5,7.5,-21,0
689,14,0,0,0,0,0
690,14,1,-0.5,7,-1,0
691,17,4,-1,35,-2,0
692,8,1,-2.5,2,-5,0
693,23,4,9,57,18,0
694,17,0,0,0,0,0
695,12,0,0,0,0,0
696,12,1,-4.5,2,-9,0
697,16,2,2,19,4,0
698,22,3,2,36.5,4,0
699,8,0,0,0,0,0
700,21,3,-8,25,-16,0
701,21,4,-10,34,-20,0
702,16,3,0.5,26,1,0
703,12,2,0,13,0,0
704,17,4,3,39,6,0
705,18,2,-16,3,-32,0
706,21,0,0,0,0,0
707,16,2,-6.5,10.5,-13,0
708,8,1,3.5,8,7,0
709,21,4,-6,38,-12,0
710,15,3,-5,19,-10,0
711,13,3,-7.5,13.5,-15,0
712,13,2,-0.5,13.5,-1,0
713,17,3,-2,25,-4,0
714,17,2,-3.5,14.5,-7,0
715,17,3,-3,24,-6,0
716,18,1,2.5,12,5,0
717,16,2,-6,11,-12,0
718,17,1,2,11,4,0
719,22,3,9.5,44,19,0
720,16,2,3,20,6,0
721,21,2,-6.5,15.5,-13,0
722,18,2,-2,17,-4,0
723,22,3,17,51.5,34,0
724,17,0,0,0,0,0
725,22,3,-1,33.5,-2,0
726,16,3,1,26.5,2,0
727,9,1,-1,4,-2,0
728,15,2,-1.5,14.5,-3,0
729,16,3,-5,20.5,-10,0
730,12,1,-1,5.5,-2,0
731,17,4,-3,33,-6,0
732,13,4,8,36,16,0
733,13,2,-6,8,-12,0
734,23,2,-10,14,-20,0
735,16,2,11,28,22,0
736,17,3,2,29,4,0
737,12,1,-2,4.5,-4,0
738,22,4,-27.5,18.5,-55,0
739,12,3,-5,14.5,-10,0
740,22,4,2.5,48.5,5,0
741,15,3,13.5,37.5,27,0
742,13,1,6,13,12,0
743,15,0,0,0,0,0
744,13,0,0,0,0,0
745,17,1,6,15,12,0
746,13,2,0.5,14.5,1,0
747,13,1,-2.5,4.5,-5,0
748,21,4,-19,25,-38,0
749,13,1,-1,6,-2,0
750,13,3,4.5,25.5,9,0
751,22,3,7.5,42,15,0
752,16,3,8.5,34,17,0
753,12,1,-2,4.5,-4,0
754,17,2,-4.5,13.5,-9,0
755,21,2,-2.5,19.5,-5,0
756,16,3,-5.5,20,-11,0
757,15,4,-4,28,-8,0
758,17,1,1,10,2,0
759,17,3,6,33,12,0
760,16,2,-2,15,-4,0
761,17,2,1,19,2,0
762,18,4,-10,28,-20,0
763,13,3,-2,19,-4,0
764,17,3,-8.5,18.5,-17,0
765,17,3,-1.5,25.5,-3,0
766,13,1,-2,5,-4,0
767,17,4,3.5,39.5,7,0
768,18,2,-4.5,14.5,-9,0
769,15,0,0,0,0,0
770,12,1,4.5,11,9,0
