configuration,informative_rounds,confirmatory,no_zone_rounds,zone_exposure,zone_size_mean,zone_size_median,zone_size_max,main_hits,main_observed_rate,main_risk_difference,main_T,main_raw_p,main_maxT_p,integrated_hits,integrated_observed_rate,integrated_risk_difference,integrated_T,integrated_raw_p,integrated_maxT_p,main_holm_p,integrated_holm_p
L5-M2,1217,True,0,19357,15.905505341002465,16.0,25,2625,0.1356098568993129,0.0022765235659795713,1.157479445187456,0.24707653242350947,0.8800312,3048,0.1574624166968022,0.0019068611412466352,0.9093421374972471,0.3631695545788928,0.972260277,1.0,1.0
L5-M3,1195,True,22,12007,10.047698744769875,10.0,21,1636,0.1362538519197135,0.0029205185863801775,1.0775065339832643,0.2812540332982496,0.927470725,1911,0.15915715832431082,0.003601602768755263,1.2463007599651974,0.21265399897883397,0.834351656,1.0,1.0
L5-M4,966,True,251,6880,7.122153209109731,6.0,18,908,0.13197674418604652,-0.001356589147286813,-0.36289086033156803,0.7166864144368144,0.99998,1053,0.15305232558139534,-0.0025032299741602204,-0.6280519275163944,0.5299699233696069,0.998690013,1.0,1.0
L5-M5,560,True,657,3632,6.485714285714286,6.0,18,477,0.13133259911894274,-0.0020007342143905926,-0.3827007941178261,0.701941625582239,0.99997,562,0.15473568281938327,-0.0008198727361722891,-0.14709012583260037,0.8830608835509015,1.0,1.0,1.0
L10-M2,1108,True,109,5338,4.817689530685921,4.0,13,709,0.13282128137879357,-0.0005120519545397662,-0.11680967706484277,0.9070108750640734,1.0,833,0.15605095541401273,0.0004953998584571739,0.1059955868305991,0.9155858536611089,1.0,1.0,1.0
L10-M3,464,True,753,1758,3.788793103448276,3.0,10,229,0.13026166097838454,-0.00307167235494879,-0.39359531590690294,0.6938798400226829,0.99997,273,0.1552901023890785,-0.0002654531664770532,-0.0319028919408611,0.9745494923798127,1.0,1.0,1.0
L10-M4,130,False,1087,564,4.338461538461538,4.0,8,69,0.12234042553191489,-0.010992907801418442,-0.7999292077286224,0.4237518141742608,0.990290097,79,0.1400709219858156,-0.015484633569739947,-1.0568345722355976,0.29058709298584506,0.939890601,1.0,1.0
L10-M5,33,False,1184,168,5.090909090909091,5.0,6,20,0.11904761904761904,-0.01428571428571429,-0.5720578549245673,0.5672827800650588,0.999230008,23,0.13690476190476192,-0.01865079365079364,-0.700490775878761,0.4836208637021773,0.995560044,1.0,1.0
L20-M2,193,False,1024,416,2.155440414507772,2.0,4,45,0.10817307692307693,-0.025160256410256404,-1.5316990336115306,0.12559672099797808,0.643833562,56,0.1346153846153846,-0.02094017094017095,-1.195654516295296,0.23183140767645205,0.868171318,1.0,1.0
L20-M3,12,False,1205,36,3.0,3.0,3,4,0.1111111111111111,-0.022222222222222227,-0.4014625277309969,0.6880796216064589,0.99996,5,0.1388888888888889,-0.016666666666666663,-0.28240565471162943,0.7776324795589289,1.0,1.0,1.0
L20-M4,0,False,1217,0,,,0,0,,,0.0,1.0,1.0,0,,,0.0,1.0,1.0,1.0,1.0
L20-M5,0,False,1217,0,,,0,0,,,0.0,1.0,1.0,0,,,0.0,1.0,1.0,1.0,1.0
