round,source_round_R_minus_1,distinct_endings_R_minus_1,candidate_size_z,main_hits_k,expected_main_hits,integrated_hits_k7
2,1,4,11,2,1.4666666666666666,2
3,2,5,18,3,2.4,3
4,3,4,11,0,1.4666666666666666,0
5,4,5,17,2,2.2666666666666666,2
6,5,6,21,2,2.8,3
7,6,6,21,3,2.8,3
8,7,5,16,2,2.1333333333333333,2
9,8,5,16,2,2.1333333333333333,3
10,9,5,16,2,2.1333333333333333,3
11,10,6,22,1,2.933333333333333,2
12,11,4,12,3,1.6,3
13,12,4,13,2,1.7333333333333334,2
14,13,5,17,3,2.2666666666666666,4
15,14,5,17,3,2.2666666666666666,4
16,15,6,21,4,2.8,5
17,16,5,15,2,2.0,2
18,17,5,17,3,2.2666666666666666,4
19,18,4,13,2,1.7333333333333334,2
20,19,5,15,4,2.0,4
21,20,4,12,0,1.6,0
22,21,5,16,1,2.1333333333333333,1
23,22,6,20,1,2.6666666666666665,2
24,23,5,17,4,2.2666666666666666,4
25,24,5,15,1,2.0,2
26,25,5,18,0,2.4,1
27,26,5,16,2,2.1333333333333333,3
28,27,6,20,2,2.6666666666666665,2
29,28,5,16,3,2.1333333333333333,3
30,29,6,22,3,2.933333333333333,4
31,30,6,20,3,2.6666666666666665,3
32,31,5,16,2,2.1333333333333333,2
33,32,4,12,1,1.6,2
34,33,6,22,2,2.933333333333333,3
35,34,6,20,1,2.6666666666666665,2
36,35,5,17,2,2.2666666666666666,3
37,36,5,16,2,2.1333333333333333,2
38,37,4,12,2,1.6,2
39,38,5,16,3,2.1333333333333333,3
40,39,5,17,2,2.2666666666666666,2
41,40,6,20,4,2.6666666666666665,4
42,41,4,12,1,1.6,1
43,42,6,21,3,2.8,4
44,43,6,21,3,2.8,3
45,44,5,17,5,2.2666666666666666,5
46,45,5,17,4,2.2666666666666666,4
47,46,4,13,1,1.7333333333333334,1
48,47,5,17,2,2.2666666666666666,2
49,48,4,10,3,1.3333333333333333,4
50,49,6,20,2,2.6666666666666665,2
51,50,4,13,0,1.7333333333333334,1
52,51,5,18,1,2.4,2
53,52,6,21,3,2.8,4
54,53,6,21,1,2.8,2
55,54,5,15,3,2.0,4
56,55,4,12,3,1.6,3
57,56,5,17,2,2.2666666666666666,2
58,57,6,20,2,2.6666666666666665,2
59,58,4,13,1,1.7333333333333334,2
60,59,4,12,1,1.6,2
61,60,5,16,3,2.1333333333333333,3
62,61,6,21,4,2.8,4
63,62,5,16,2,2.1333333333333333,3
64,63,4,11,2,1.4666666666666666,2
65,64,5,17,2,2.2666666666666666,2
66,65,5,17,2,2.2666666666666666,3
67,66,4,13,0,1.7333333333333334,1
68,67,6,20,2,2.6666666666666665,2
69,68,5,16,2,2.1333333333333333,3
70,69,4,12,2,1.6,2
71,70,5,17,3,2.2666666666666666,3
72,71,5,17,3,2.2666666666666666,4
73,72,5,17,2,2.2666666666666666,2
74,73,4,12,0,1.6,1
75,74,5,15,1,2.0,2
76,75,3,9,3,1.2,3
77,76,5,18,3,2.4,3
78,77,5,17,2,2.2666666666666666,3
79,78,4,12,2,1.6,2
80,79,5,17,1,2.2666666666666666,1
81,80,6,20,3,2.6666666666666665,4
82,81,5,17,3,2.2666666666666666,3
