round,query_round_R_minus_1,max_overlap,analog_count,analog_round_ids,successor_round_ids,candidate_size,informative,main_hits,expected_main_hits,integrated_hits
4,3,0,1,1,2,6,True,1,0.8,1
5,4,1,2,1;2,2;3,11,True,2,1.4666666666666666,2
6,5,2,1,1,2,6,True,1,0.8,1
7,6,4,1,4,5,6,True,2,0.8,3
8,7,2,2,2;5,3;6,11,True,1,1.4666666666666666,1
9,8,1,3,1;2;3,2;3;4,14,True,1,1.8666666666666667,2
10,9,2,1,7,8,6,True,1,0.8,1
11,10,2,2,2;7,3;8,11,True,1,1.4666666666666666,1
12,11,2,1,5,6,6,True,0,0.8,0
13,12,2,5,2;3;7;8;9,3;4;8;9;10,23,True,3,-2.6222222222222222,3
14,13,2,4,1;2;8;11,2;3;9;12,17,True,2,2.2666666666666666,2
15,14,2,3,1;4;7,2;5;8,16,True,2,2.1333333333333333,3
16,15,2,3,3;4;9,4;5;10,14,True,2,1.8666666666666667,3
17,16,2,5,1;5;11;13;14,2;6;12;14;15,24,True,5,-2.488888888888889,5
18,17,3,1,15,16,6,True,0,0.8,0
19,18,2,1,2,3,6,True,0,0.8,0
20,19,3,1,16,17,6,True,0,0.8,0
21,20,2,2,1;4,2;5,11,True,1,1.4666666666666666,2
22,21,3,1,14,15,6,True,1,0.8,1
23,22,3,1,9,10,6,True,1,0.8,2
24,23,2,2,2;21,3;22,12,True,2,1.6,3
25,24,2,1,11,12,6,True,2,0.8,2
26,25,2,3,7;9;12,8;10;13,15,True,1,2.0,1
27,26,2,3,20;22;23,21;23;24,16,True,1,2.1333333333333333,2
28,27,2,2,11;25,12;26,11,True,2,1.4666666666666666,2
29,28,3,1,13,14,6,True,1,0.8,1
30,29,2,4,8;19;22;23,9;20;23;24,21,True,4,2.8,5
31,30,2,3,9;22;24,10;23;25,16,True,2,2.1333333333333333,2
32,31,4,1,28,29,6,True,1,0.8,1
33,32,3,1,8,9,6,True,1,0.8,1
