round,source_round_R_minus_1,gap_set,gap_set_size,graph_edge_count_m,shared_edge_pairs_A,disjoint_edge_pairs_D,main_matched_pairs_H,expected_main_H,variance_main_H,integrated_matched_pairs_H7,expected_integrated_H7,variance_integrated_H7
2,1,3;4;6;7;8;10;11;13;14;17;19;23;27;30,14,438,8327,87376,9,6.636363636363637,3.660983132441899,14,9.290909090909091,5.0979417857219005
3,2,4;7;8;10;11;12;16;17;19;21;23;29;33,13,375,6022,64103,8,5.681818181818182,3.281172492060435,10,7.954545454545455,4.503101842953846
4,3,2;3;4;5;6;8;10;11;12;15;16;20,12,428,8056,83322,8,6.484848484848485,3.917343168928781,9,9.07878787878788,5.540938347534535
5,4,1;2;3;4;9;10;11;12;13;15;16;17;26;28,14,463,9334,97619,10,7.015151515151516,3.7697794922953385,12,9.821212121212122,5.272920964400868
6,5,1;2;5;8;11;12;13;16;17;18;24;25;26,13,407,7132,75489,11,6.166666666666667,3.442825262592695,13,8.633333333333335,4.7472327930467415
7,6,1;2;11;12;13;14;15;16;25;26;27;28,12,350,5196,55879,5,5.303030303030303,3.0790172946621084,8,7.424242424242425,4.189762316612203
8,7,1;7;9;10;14;15;16;17;23;24;31;38,12,335,4740,51205,5,5.075757575757576,2.9840423260084936,8,7.106060606060606,4.049474662053939
9,8,2;3;5;6;9;11;12;14;15;17;18;20;26;29;31,15,457,9014,95182,6,6.924242424242425,3.5533567325321975,9,9.693939393939395,4.905880581715664
10,9,1;2;3;12;13;14;15;19;20;22;23;32;34;35;37,15,393,6514,70514,6,5.954545454545455,3.0580869095668213,9,8.336363636363638,4.103796314092293
11,10,3;5;8;11;14;16;19;21;24;32;35,11,307,3936,43035,4,4.651515151515151,2.77511524181714,4,6.512121212121213,3.739352723855891
12,11,1;4;5;6;29;30;34;35;36;40;41,11,234,2276,24985,3,3.5454545454545454,2.421698104573366,5,4.963636363636364,3.291888867533686
13,12,4;6;9;10;14;18;19;20;23;24;28;34;37;43,14,341,4862,53108,4,5.166666666666667,2.870893318567731,5,7.233333333333333,3.8476227390180817
14,13,1;2;3;4;5;12;13;14;15;16;17;19;20,13,444,8641,89705,3,6.7272727272727275,3.8910884745979786,6,9.418181818181818,5.487233433702762
15,14,2;4;6;7;9;10;19;21;25;27;28;29;31;34;38,15,385,6254,67666,7,5.833333333333334,3.059356018658338,9,8.166666666666668,4.113988724453833
16,15,1;6;7;12;13;14;15;21;26;27;28;33;34,13,348,5072,55306,6,5.2727272727272725,2.9042768366235556,9,7.381818181818182,3.894571934994758
17,16,1;2;3;13;14;16;17;18;30;31;32;33;34,13,341,4852,53118,5,5.166666666666667,2.844717943555148,9,7.233333333333333,3.8029903688043163
18,17,1;5;6;8;13;14;15;20;23;28;29;33;34,13,356,5314,57876,6,5.3939393939393945,2.9321972366369806,7,7.551515151515152,3.931349008050905
19,18,1;3;6;7;9;10;13;16;19;20;22;23;29;32,14,420,7543,80447,7,6.363636363636364,3.328555869782079,9,8.90909090909091,4.54235804130095
20,19,1;2;3;4;5;8;9;10;13;24;32;33;34;37,14,415,7295,78610,10,6.287878787878788,3.1422843658572965,10,8.803030303030303,4.228409891729122
21,20,2;3;4;5;6;7;8;9;10;12;13;16;20,13,470,9775,100440,6,7.121212121212121,4.187663405422381,10,9.96969696969697,5.983577850385451
22,21,1;5;6;11;12;13;14;15;19;20;25;26,12,373,5998,63380,5,5.651515151515151,3.3810751733584645,8,7.912121212121213,4.6757398509406904
23,22,1;2;3;4;9;11;12;13;22;31;33;34;35,13,375,5905,64220,5,5.681818181818182,2.9749206044131995,8,7.954545454545455,3.980903111452786
24,23,1;4;5;8;9;12;13;15;16;20;24;25;28;29;37,15,429,7846,83960,6,6.5,3.27224906876069,8,9.100000000000001,4.440340615456883
25,24,1;2;7;9;14;16;19;20;21;22;28;29;35;36,14,371,5774,62861,5,5.621212121212121,2.956439203267948,7,7.86969696969697,3.9540100796548927
26,25,1;2;5;17;18;19;22;23;24;39;40;41;42,13,292,3525,38961,5,4.424242424242425,2.63165633990158,6,6.193939393939394,3.522500266940007
27,26,1;2;3;5;7;11;13;14;15;16;18;20;21,13,439,8433,87708,3,6.651515151515151,3.8404530048293175,7,9.312121212121212,5.403426014905918
28,27,2;6;8;9;11;15;17;19;23;25;27;36;42,13,345,5008,54332,5,5.2272727272727275,2.9595723163376384,8,7.318181818181818,3.9930755760565404
29,28,2;5;7;9;10;12;14;16;17;19;26;28,12,375,6066,64059,3,5.681818181818182,3.396344142115808,6,7.954545454545455,4.699484271894416
30,29,1;4;5;6;8;12;21;26;27;29;33;34;35;38;39,15,357,5357,58189,5,5.409090909090909,2.9679008447507353,6,7.572727272727273,3.990916992333478
31,30,1;3;8;9;12;15;16;18;19;24;27;28;36,13,369,5749,62147,5,5.590909090909091,3.0516620447910014,7,7.827272727272728,4.118744100625701
32,31,2;5;7;9;10;11;12;14;16;17;19;21;26;28,14,433,8168,85360,7,6.5606060606060606,3.730873366708451,9,9.184848484848485,5.219930168492525
33,32,5;6;8;9;10;11;13;15;19;20;25;28;30;38,14,393,6606,70422,5,5.954545454545455,3.2989003596825945,6,8.336363636363638,4.51441412005893
34,33,1;3;7;8;9;25;26;28;29;33;34;36;37,13,309,4013,43573,6,4.681818181818182,2.8479700356021667,8,6.554545454545455,3.860038652913911
