draw,main1,main2,main3,main4,main5,main6,winner_count_1st
1,10,23,29,33,37,40,0
2,9,13,21,25,32,42,1
3,11,16,19,21,27,31,1
4,14,27,30,31,40,42,0
5,16,24,29,40,41,42,0
6,14,15,26,27,40,42,1
7,2,9,16,25,26,40,0
8,8,19,25,34,37,39,0
9,2,4,16,17,36,39,0
10,9,25,30,33,41,44,13
11,1,7,36,37,41,42,5
12,2,11,21,25,39,45,12
13,22,23,25,37,38,42,0
14,2,6,12,31,33,40,4
15,3,4,16,30,31,37,1
16,6,7,24,37,38,40,4
17,3,4,9,17,32,37,3
18,3,12,13,19,32,35,0
19,6,30,38,39,40,43,1
20,10,14,18,20,23,30,1
21,6,12,17,18,31,32,23
22,4,5,6,8,17,39,4
23,5,13,17,18,33,42,4
24,7,8,27,29,36,43,0
25,2,4,21,26,43,44,2
26,4,5,7,18,20,25,5
27,1,20,26,28,37,43,2
28,9,18,23,25,35,37,10
29,1,5,13,34,39,40,5
30,8,17,20,35,36,44,2
31,7,9,18,23,28,35,2
32,6,14,19,25,34,44,10
33,4,7,32,33,40,41,1
34,9,26,35,37,40,42,5
35,2,3,11,26,37,43,3
36,1,10,23,26,28,40,1
37,7,27,30,33,35,37,3
38,16,17,22,30,37,43,3
39,6,7,13,15,21,43,6
40,7,13,18,19,25,26,13
41,13,20,23,35,38,43,0
42,17,18,19,21,23,32,6
43,6,31,35,38,39,44,1
44,3,11,21,30,38,45,5
45,1,10,20,27,33,35,2
46,8,13,15,23,31,38,3
47,14,17,26,31,36,45,5
48,6,10,18,26,37,38,6
49,4,7,16,19,33,40,7
50,2,10,12,15,22,44,3
51,2,3,11,16,26,44,6
52,2,4,15,16,20,29,4
53,7,8,14,32,33,39,3
54,1,8,21,27,36,39,3
55,17,21,31,37,40,44,2
56,10,14,30,31,33,37,4
57,7,10,16,25,29,44,4
58,10,24,25,33,40,44,4
59,6,29,36,39,41,45,4
60,2,8,25,36,39,42,7
61,14,15,19,30,38,43,5
62,3,8,15,27,29,35,1
63,3,20,23,36,38,40,2
64,14,15,18,21,26,36,4
65,4,25,33,36,40,43,4
66,2,3,7,17,22,24,4
67,3,7,10,15,36,38,7
68,10,12,15,16,26,39,5
69,5,8,14,15,19,39,3
70,5,19,22,25,28,43,3
71,5,9,12,16,29,41,0
72,2,4,11,17,26,27,13
73,3,12,18,32,40,43,6
74,6,15,17,18,35,40,3
75,2,5,24,32,34,44,4
76,1,3,15,22,25,37,2
77,2,18,29,32,43,44,3
78,10,13,25,29,33,35,4
79,3,12,24,27,30,32,4
80,17,18,24,25,26,30,1
81,5,7,11,13,20,33,5
82,1,2,3,14,27,42,1
83,6,10,15,17,19,34,2
84,16,23,27,34,42,45,2
85,6,8,13,23,31,36,4
86,2,12,37,39,41,45,1
87,4,12,16,23,34,43,11
88,1,17,20,24,30,41,4
89,4,26,28,29,33,40,3
90,17,20,29,35,38,44,4
91,1,21,24,26,29,42,4
92,3,14,24,33,35,36,11
93,6,22,24,36,38,44,6
94,5,32,34,40,41,45,6
95,8,17,27,31,34,43,8
96,1,3,8,21,22,31,7
97,6,7,14,15,20,36,9
98,6,9,16,23,24,32,4
99,1,3,10,27,29,37,6
100,1,7,11,23,37,42,4
101,1,3,17,32,35,45,5
102,17,22,24,26,35,40,9
103,5,14,15,27,30,45,8
104,17,32,33,34,42,44,2
105,8,10,20,34,41,45,4
106,4,10,12,22,24,33,16
107,1,4,5,6,9,31,2
108,7,18,22,23,29,44,7
109,1,5,34,36,42,44,12
110,7,20,22,23,29,43,3
111,7,18,31,33,36,40,6
112,26,29,30,33,41,42,9
113,4,9,28,33,36,45,9
114,11,14,19,26,28,41,6
115,1,2,6,9,25,28,9
116,2,4,25,31,34,37,7
117,5,10,22,34,36,44,9
