round,date,main_1,main_2,main_3,main_4,main_5,main_6,first_prize_games,sales_amount_krw,price_per_game_krw,sold_lines,birthday_count,relevant_sales_amount_audit_only
1,20021207,10,23,29,33,37,40,0,3681782000,2000,1840891,3,3681782000
2,20021214,9,13,21,25,32,42,1,4904274000,2000,2452137,4,4904274000
3,20021221,11,16,19,21,27,31,1,4729342000,2000,2364671,6,4729342000
4,20021228,14,27,30,31,40,42,0,5271464000,2000,2635732,4,5271464000
5,20030104,16,24,29,40,41,42,0,6277102000,2000,3138551,3,6277102000
6,20030111,14,15,26,27,40,42,1,15305356000,2000,7652678,4,15305356000
7,20030118,2,9,16,25,26,40,0,12794890000,2000,6397445,5,12794890000
8,20030125,8,19,25,34,37,39,0,20751450000,2000,10375725,3,20751450000
9,20030201,2,4,16,17,36,39,0,73624020000,2000,36812010,4,73624020000
10,20030208,9,25,30,33,41,44,13,260856392000,2000,130428196,3,260856392000
11,20030215,1,7,36,37,41,42,5,91925306000,2000,45962653,2,91925306000
12,20030222,2,11,21,25,39,45,12,76255508000,2000,38127754,4,76255508000
13,20030301,22,23,25,37,38,42,0,66532136000,2000,33266068,3,66532136000
14,20030308,2,6,12,31,33,40,4,99838648000,2000,49919324,4,99838648000
15,20030315,3,4,16,30,31,37,1,73264910000,2000,36632455,5,73264910000
16,20030322,6,7,24,37,38,40,4,75777348000,2000,37888674,3,75777348000
17,20030329,3,4,9,17,32,37,3,72718152000,2000,36359076,4,72718152000
18,20030405,3,12,13,19,32,35,0,66371660000,2000,33185830,4,66371660000
19,20030412,6,30,38,39,40,43,1,105957818000,2000,52978909,2,105957818000
20,20030419,10,14,18,20,23,30,1,81056776000,2000,40528388,6,81056776000
21,20030426,6,12,17,18,31,32,23,84247142000,2000,42123571,5,84247142000
22,20030503,4,5,6,8,17,39,4,79455152000,2000,39727576,5,79455152000
23,20030510,5,13,17,18,33,42,4,77374256000,2000,38687128,4,77374256000
24,20030517,7,8,27,29,36,43,0,78486634000,2000,39243317,4,78486634000
25,20030524,2,4,21,26,43,44,2,120073768000,2000,60036884,4,120073768000
26,20030531,4,5,7,18,20,25,5,80193026000,2000,40096513,6,80193026000
27,20030607,1,20,26,28,37,43,2,76145050000,2000,38072525,4,76145050000
28,20030614,9,18,23,25,35,37,10,75448366000,2000,37724183,4,75448366000
