round,date,main_1,main_2,main_3,main_4,main_5,main_6,bonus,second_prize_games,sales_amount_krw,price_per_game_krw,sold_lines,main_birthday_count,bonus_birthday_indicator,second_prize_tickets_json,second_prize_birthday_counts_json,x2,z2,share2_index,source_file,source_file_sha256
1,20021207,10,23,29,33,37,40,16,1,3681782000,2000,1840891,3,1,"[[16,23,29,33,37,40],[10,16,29,33,37,40],[10,16,23,33,37,40],[10,16,23,29,37,40],[10,16,23,29,33,40],[10,16,23,29,33,37]]","[3,3,3,4,4,4]",3.5,-0.63333333333333375,0.73742008625171185,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
2,20021214,9,13,21,25,32,42,2,2,4904274000,2000,2452137,4,1,"[[2,13,21,25,32,42],[2,9,21,25,32,42],[2,9,13,25,32,42],[2,9,13,21,32,42],[2,9,13,21,25,42],[2,9,13,21,25,32]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,1.1072056740712284,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
3,20021221,11,16,19,21,27,31,30,0,4729342000,2000,2364671,6,1,"[[16,19,21,27,30,31],[11,19,21,27,30,31],[11,16,21,27,30,31],[11,16,19,27,30,31],[11,16,19,21,30,31],[11,16,19,21,27,30]]","[6,6,6,6,6,6]",6,1.8666666666666663,0,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
4,20021228,14,27,30,31,40,42,2,1,5271464000,2000,2635732,4,1,"[[2,27,30,31,40,42],[2,14,30,31,40,42],[2,14,27,31,40,42],[2,14,27,30,40,42],[2,14,27,30,31,42],[2,14,27,30,31,40]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,0.5150409829223912,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
5,20030104,16,24,29,40,41,42,3,0,6277102000,2000,3138551,3,1,"[[3,24,29,40,41,42],[3,16,29,40,41,42],[3,16,24,40,41,42],[3,16,24,29,41,42],[3,16,24,29,40,42],[3,16,24,29,40,41]]","[3,3,3,4,4,4]",3.5,-0.63333333333333375,0,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
6,20030111,14,15,26,27,40,42,34,3,15305356000,2000,7652678,4,0,"[[15,26,27,34,40,42],[14,26,27,34,40,42],[14,15,27,34,40,42],[14,15,26,34,40,42],[14,15,26,27,34,42],[14,15,26,27,34,40]]","[3,3,3,3,4,4]",3.3333333333333335,-0.80000000000000027,0.53217056826381559,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
7,20030118,2,9,16,25,26,40,42,9,12794890000,2000,6397445,5,0,"[[9,16,25,26,40,42],[2,16,25,26,40,42],[2,9,25,26,40,42],[2,9,16,26,40,42],[2,9,16,25,40,42],[2,9,16,25,26,42]]","[4,4,4,4,4,5]",4.166666666666667,0.033333333333333215,1.9097608498392717,downloads/official-1-1237/raw/api-0124.json,d6b3da00d57e9c5123384b2a334a150be277d3b4575e561ebbab3ff2d1037629
8,20030125,8,19,25,34,37,39,9,6,20751450000,2000,10375725,3,1,"[[9,19,25,34,37,39],[8,9,25,34,37,39],[8,9,19,34,37,39],[8,9,19,25,37,39],[8,9,19,25,34,39],[8,9,19,25,34,37]]","[3,3,3,4,4,4]",3.5,-0.63333333333333375,0.78501116789429171,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
9,20030201,2,4,16,17,36,39,14,4,73624020000,2000,36812010,4,1,"[[4,14,16,17,36,39],[2,14,16,17,36,39],[2,4,14,17,36,39],[2,4,14,16,36,39],[2,4,14,16,17,39],[2,4,14,16,17,36]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,0.14750729449437833,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
10,20030208,9,25,30,33,41,44,6,236,260856392000,2000,130428196,3,1,"[[6,25,30,33,41,44],[6,9,30,33,41,44],[6,9,25,33,41,44],[6,9,25,30,41,44],[6,9,25,30,33,44],[6,9,25,30,33,41]]","[3,3,3,4,4,4]",3.5,-0.63333333333333375,2.45631213054576,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
11,20030215,1,7,36,37,41,42,14,11,91925306000,2000,45962653,2,1,"[[7,14,36,37,41,42],[1,14,36,37,41,42],[1,7,14,37,41,42],[1,7,14,36,41,42],[1,7,14,36,37,42],[1,7,14,36,37,41]]","[2,2,3,3,3,3]",2.6666666666666665,-1.4666666666666672,0.32488572841954966,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
12,20030222,2,11,21,25,39,45,44,27,76255508000,2000,38127754,4,0,"[[11,21,25,39,44,45],[2,21,25,39,44,45],[2,11,25,39,44,45],[2,11,21,39,44,45],[2,11,21,25,44,45],[2,11,21,25,39,44]]","[3,3,3,3,4,4]",3.3333333333333335,-0.80000000000000027,0.96131468955658916,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
13,20030301,22,23,25,37,38,42,26,6,66532136000,2000,33266068,3,1,"[[23,25,26,37,38,42],[22,25,26,37,38,42],[22,23,26,37,38,42],[22,23,25,26,38,42],[22,23,25,26,37,42],[22,23,25,26,37,38]]","[3,3,3,4,4,4]",3.5,-0.63333333333333375,0.24484588921059142,downloads/official-1-1237/raw/api-0123.json,11ca32d2b0d265ef02f16a770b60098828a08661d39f99ae93c7657dae03f507
