target_round,source_round,source_main6,pair_completions,vote_counts,candidate_count,candidates_ordered,source_member_candidate_count_r,source_target_intersection_c,research_A,research_B,leftovers,candidate_hit_count,A_exact_hit_count,B_exact_hit_count,future_leakage_flag
2,1,10 23 29 33 37 40,10-23>6;10-29>3;10-33>32;10-37>43;10-40>25;23-29>41;23-33>28;23-37>21;23-40>27;29-33>22;29-37>30;29-40>21;33-37>5;33-40>14;37-40>1,21:2 1:1 3:1 5:1 6:1 14:1 22:1 25:1 27:1 28:1 30:1 32:1 41:1 43:1,1,21,0,0,,,,1,,,0
3,2,9 13 21 25 32 42,9-13>26;9-21>3;9-25>11;9-32>31;9-42>36;13-21>14;13-25>7;13-32>39;13-42>44;21-25>38;21-32>28;21-42>18;25-32>24;25-42>29;32-42>7,7:2 3:1 11:1 14:1 18:1 24:1 26:1 28:1 29:1 31:1 36:1 38:1 39:1 44:1,1,7,0,1,,,,0,,,0
4,3,11 16 19 21 27 31,11-16>6;11-19>12;11-21>1;11-27>13;11-31>36;16-19>40;16-21>41;16-27>44;16-31>1;19-21>35;19-27>38;19-31>28;21-27>39;21-31>26;27-31>20,1:2 6:1 12:1 13:1 20:1 26:1 28:1 35:1 36:1 38:1 39:1 40:1 41:1 44:1,1,1,0,2,,,,0,,,0
5,4,14 27 30 31 40 42,14-27>10;14-30>1;14-31>42;14-40>33;14-42>31;27-30>36;27-31>20;27-40>23;27-42>12;30-31>17;30-40>20;30-42>24;31-40>13;31-42>14;40-42>11,20:2 1:1 10:1 11:1 12:1 13:1 14:1 17:1 23:1 24:1 31:1 33:1 36:1 42:1,1,20,0,2,,,,0,,,0
6,5,16 24 29 40 41 42,16-24>35;16-29>45;16-40>19;16-41>21;16-42>23;24-29>34;24-40>26;24-41>28;24-42>30;29-40>21;29-41>23;29-42>25;40-41>3;40-42>11;41-42>4,21:2 23:2 3:1 4:1 11:1 19:1 25:1 26:1 28:1 30:1 34:1 35:1 45:1,2,21 23,0,2,,,,0,,,0
7,6,14 15 26 27 40 42,14-15>22;14-26>8;14-27>10;14-40>33;14-42>31;15-26>7;15-27>9;15-40>35;15-42>33;26-27>34;26-40>24;26-42>28;27-40>23;27-42>12;40-42>11,33:2 7:1 8:1 9:1 10:1 11:1 12:1 22:1 23:1 24:1 28:1 31:1 34:1 35:1,1,33,0,2,,,,0,,,0
8,7,2 9 16 25 26 40,2-9>28;2-16>15;2-25>3;2-26>5;2-40>39;9-16>8;9-25>11;9-26>13;9-40>38;16-25>43;16-26>36;16-40>19;25-26>33;25-40>10;26-40>24,3:1 5:1 8:1 10:1 11:1 13:1 15:1 19:1 24:1 28:1 33:1 36:1 38:1 39:1 43:1,0,,0,1,,,,0,,,0
9,8,8 19 25 34 37 39,8-19>15;8-25>12;8-34>42;8-37>39;8-39>37;19-25>37;19-34>4;19-37>25;19-39>29;25-34>28;25-37>19;25-39>23;34-37>13;34-39>14;37-39>8,37:2 4:1 8:1 12:1 13:1 14:1 15:1 19:1 23:1 25:1 28:1 29:1 39:1 42:1,1,37,1,1,,,,0,,,0
10,9,2 4 16 17 36 39,2-4>18;2-16>15;2-17>32;2-36>43;2-39>40;4-16>13;4-17>15;4-36>32;4-39>44;16-17>39;16-36>26;16-39>17;17-36>25;17-39>16;36-39>15,15:3 32:2 13:1 16:1 17:1 18:1 25:1 26:1 39:1 40:1 43:1 44:1,2,15 32,0,0,,,,0,,,0
11,10,9 25 30 33 41 44,9-25>11;9-30>6;9-33>45;9-41>37;9-44>34;25-30>35;25-33>26;25-41>27;25-44>18;30-33>21;30-41>22;30-44>28;33-41>7;33-44>1;41-44>5,1:1 5:1 6:1 7:1 11:1 18:1 21:1 22:1 26:1 27:1 28:1 34:1 35:1 37:1 45:1,0,,0,1,,,,0,,,0
12,11,1 7 36 37 41 42,1-7>19;1-36>41;1-37>40;1-41>36;1-42>35;7-36>38;7-37>22;7-41>33;7-42>32;36-37>14;36-41>1;36-42>9;37-41>9;37-42>2;41-42>4,9:2 1:1 2:1 4:1 14:1 19:1 22:1 32:1 33:1 35:1 36:1 38:1 40:1 41:1,1,9,0,0,,,,0,,,0
13,12,2 11 21 25 39 45,2-11>29;2-21>10;2-25>3;2-39>40;2-45>34;11-21>1;11-25>9;11-39>43;11-45>37;21-25>38;21-39>27;21-45>24;25-39>23;25-45>20;39-45>12,1:1 3:1 9:1 10:1 12:1 20:1 23:1 24:1 27:1 29:1 34:1 37:1 38:1 40:1 43:1,0,,0,1,,,,0,,,0
14,13,22 23 25 37 38 42,22-23>45;22-25>31;22-37>7;22-38>24;22-42>17;23-25>39;23-37>21;23-38>8;23-42>16;25-37>19;25-38>21;25-42>29;37-38>15;37-42>2;38-42>10,21:2 2:1 7:1 8:1 10:1 15:1 16:1 17:1 19:1 24:1 29:1 31:1 39:1 45:1,1,21,0,0,,,,0,,,0
15,14,2 6 12 31 33 40,2-6>19;2-12>22;2-31>33;2-33>31;2-40>39;6-12>24;6-31>41;6-33>39;6-40>32;12-31>38;12-33>36;12-40>44;31-33>2;31-40>13;33-40>14,39:2 2:1 13:1 14:1 19:1 22:1 24:1 31:1 32:1 33:1 36:1 38:1 41:1 44:1,1,39,0,1,,,,0,,,0
