target_round,common_count,common_trios,fixed_only_trios,linked_only_trios,common_hits,fixed_only_hits,linked_only_hits,fixed_primary,linked_primary,reset
2,0,,1-4-25;2-8-20;3-6-27,10-31-34;16-19-40;13-15-29,,1-4-25:1;2-8-20:0;3-6-27:0,10-31-34:0;16-19-40:0;13-15-29:1,0,0,N
3,0,,5-32-38;7-11-24;9-37-41,9-12-18;2-13-30;22-25-31,,5-32-38:0;7-11-24:1;9-37-41:0,9-12-18:0;2-13-30:0;22-25-31:1,0,0,N
4,0,,10-31-34;12-33-36;13-15-29,19-23-36;4-8-21;18-30-39,,10-31-34:1;12-33-36:0;13-15-29:0,19-23-36:0;4-8-21:0;18-30-39:1,0,0,N
5,0,,14-43-45;16-19-40;17-23-35,6-9-30;2-31-33;25-29-42,,14-43-45:0;16-19-40:2;17-23-35:0,6-9-30:0;2-31-33:0;25-29-42:2,0,0,N
6,0,,18-21-42;22-26-39;28-30-44,4-40-43;14-32-41;3-31-35,,18-21-42:1;22-26-39:1;28-30-44:0,4-40-43:1;14-32-41:1;3-31-35:0,0,0,N
7,0,,1-37-40;2-13-30;3-39-42,9-38-40;26-28-42;15-31-44,,1-37-40:1;2-13-30:1;3-39-42:0,9-38-40:2;26-28-42:1;15-31-44:0,0,0,N
8,0,,4-6-20;5-34-36;7-10-16,14-31-42;2-34-45;16-27-44,,4-6-20:0;5-34-36:1;7-10-16:0,14-31-42:0;2-34-45:1;16-27-44:0,0,0,N
9,0,,8-14-26;9-12-18;11-38-44,7-8-30;9-31-32;25-26-33,,8-14-26:0;9-12-18:0;11-38-44:0,7-8-30:0;9-31-32:0;25-26-33:0,0,0,N
10,0,,15-32-43;17-28-45;19-21-35,4-41-42;14-15-22;17-18-40,,15-32-43:0;17-28-45:0;19-21-35:0,4-41-42:1;14-15-22:0;17-18-40:0,0,0,N
11,0,,22-25-31;23-29-41;24-27-33,24-25-32;16-30-38;18-19-41,,22-25-31:0;23-29-41:1;24-27-33:0,24-25-32:0;16-30-38:0;18-19-41:1,0,0,N
12,0,,1-13-22;2-35-44;3-15-24,16-26-36;12-32-37;17-22-42,,1-13-22:0;2-35-44:1;3-15-24:0,16-26-36:0;12-32-37:0;17-22-42:0,0,0,N
13,0,,4-8-21;5-14-17;6-34-38,20-28-39;3-37-44;2-10-21,,4-8-21:0;5-14-17:0;6-34-38:1,20-28-39:0;3-37-44:1;2-10-21:0,0,0,N
14,0,,7-31-43;9-33-45;10-12-26,4-38-45;1-35-42;23-30-34,,7-31-43:1;9-33-45:1;10-12-26:1,4-38-45:0;1-35-42:0;23-30-34:0,0,0,N
15,0,,11-40-42;16-28-37;18-30-39,14-33-40;2-36-43;4-12-23,,11-40-42:0;16-28-37:2;18-30-39:1,14-33-40:0;2-36-43:0;4-12-23:1,0,0,N
16,0,,19-23-36;20-29-32;25-27-41,3-18-33;4-10-22;1-16-31,,19-23-36:0;20-29-32:0;25-27-41:0,3-18-33:0;4-10-22:0;1-16-31:0,0,0,N
17,0,,1-3-17;2-31-33;4-7-28,7-13-25;24-30-42;10-37-43,,1-3-17:2;2-31-33:0;4-7-28:1,7-13-25:0;24-30-42:0;10-37-43:1,0,0,N
18,0,,5-11-23;6-9-30;8-35-41,4-13-16;5-9-22;8-32-44,,5-11-23:0;6-9-30:0;8-35-41:1,4-13-16:1;5-9-22:0;8-32-44:1,0,0,N
19,0,,10-14-27;12-40-44;13-34-37,1-7-19;14-29-44;11-32-35,,10-14-27:0;12-40-44:1;13-34-37:0,1-7-19:0;14-29-44:0;11-32-35:0,0,0,N
20,0,,15-36-39;16-18-32;19-22-43,3-39-42;1-37-40;4-6-20,,15-36-39:0;16-18-32:1;19-22-43:0,3-39-42:0;1-37-40:0;4-6-20:1,0,0,N
21,0,,20-26-38;21-24-45;25-29-42,17-30-31;10-39-41;12-14-28,,20-26-38:0;21-24-45:0;25-29-42:0,17-30-31:2;10-39-41:0;12-14-28:1,0,0,N
22,0,,1-5-18;2-11-29;3-31-35,19-30-32;6-10-23;4-15-17,,1-5-18:1;2-11-29:0;3-31-35:0,19-30-32:0;6-10-23:1;4-15-17:2,0,0,N
23,0,,4-40-43;6-42-45;7-9-23,3-4-26;5-42-43;8-31-45,,4-40-43:0;6-42-45:1;7-9-23:0,3-4-26:0;5-42-43:2;8-31-45:0,0,0,N
24,0,,8-37-39;10-13-19;12-15-21,3-13-23;7-12-17;8-33-43,,8-37-39:1;10-13-19:0;12-15-21:0,3-13-23:0;7-12-17:1;8-33-43:2,0,0,N
25,0,,14-32-41;16-20-33;17-26-44,3-8-28;17-27-37;1-36-41,,14-32-41:0;16-20-33:0;17-26-44:2,3-8-28:0;17-27-37:0;1-36-41:0,0,0,N
26,0,,22-24-38;25-28-34;27-30-36,21-29-40;18-26-37;10-36-44,,22-24-38:0;25-28-34:1;27-30-36:0,21-29-40:0;18-26-37:1;10-36-44:0,0,0,N
27,0,,1-14-30;2-4-18;3-32-34,11-14-20;16-25-43;4-32-36,,1-14-30:1;2-4-18:0;3-32-34:0,11-14-20:1;16-25-43:1;4-32-36:0,0,0,N
28,0,,5-7-21;6-35-37;8-10-24,4-31-37;13-28-43;17-20-41,,5-7-21:0;6-35-37:2;8-10-24:0,4-31-37:1;13-28-43:0;17-20-41:0,0,0,N
29,0,,9-38-40;11-13-27;12-41-43,9-37-41;1-4-25;18-21-42,,9-38-40:1;11-13-27:1;12-41-43:0,9-37-41:0;1-4-25:1;18-21-42:0,0,0,N
