class_id,trio_id,n1,n2,n3
1,1,1,4,25
1,2,2,8,20
1,3,3,6,27
1,4,5,32,38
1,5,7,11,24
1,6,9,37,41
1,7,10,31,34
1,8,12,33,36
1,9,13,15,29
1,10,14,43,45
1,11,16,19,40
1,12,17,23,35
1,13,18,21,42
1,14,22,26,39
1,15,28,30,44
2,1,1,37,40
2,2,2,13,30
2,3,3,39,42
2,4,4,6,20
2,5,5,34,36
2,6,7,10,16
2,7,8,14,26
2,8,9,12,18
2,9,11,38,44
2,10,15,32,43
2,11,17,28,45
2,12,19,21,35
2,13,22,25,31
2,14,23,29,41
2,15,24,27,33
3,1,1,13,22
3,2,2,35,44
3,3,3,15,24
3,4,4,8,21
3,5,5,14,17
3,6,6,34,38
3,7,7,31,43
3,8,9,33,45
3,9,10,12,26
3,10,11,40,42
3,11,16,28,37
3,12,18,30,39
3,13,19,23,36
3,14,20,29,32
3,15,25,27,41
4,1,1,3,17
4,2,2,31,33
4,3,4,7,28
4,4,5,11,23
4,5,6,9,30
4,6,8,35,41
4,7,10,14,27
4,8,12,40,44
4,9,13,34,37
4,10,15,36,39
4,11,16,18,32
4,12,19,22,43
4,13,20,26,38
4,14,21,24,45
4,15,25,29,42
5,1,1,5,18
5,2,2,11,29
5,3,3,31,35
5,4,4,40,43
5,5,6,42,45
5,6,7,9,23
5,7,8,37,39
5,8,10,13,19
5,9,12,15,21
5,10,14,32,41
5,11,16,20,33
5,12,17,26,44
5,13,22,24,38
5,14,25,28,34
5,15,27,30,36
6,1,1,14,30
6,2,2,4,18
6,3,3,32,34
6,4,5,7,21
6,5,6,35,37
6,6,8,10,24
6,7,9,38,40
6,8,11,13,27
6,9,12,41,43
6,10,15,31,44
6,11,16,29,45
6,12,17,19,33
6,13,20,22,36
6,14,23,25,39
6,15,26,28,42
7,1,1,32,45
7,2,2,15,16
7,3,3,5,19
7,4,4,33,35
7,5,6,8,22
7,6,7,36,38
7,7,9,11,25
7,8,10,39,41
7,9,12,14,28
7,10,13,42,44
7,11,17,30,31
7,12,18,20,34
7,13,21,23,37
7,14,24,26,40
7,15,27,29,43
8,1,1,12,29
8,2,2,34,45
8,3,3,7,20
8,4,4,15,17
8,5,5,33,37
8,6,6,10,23
8,7,8,36,40
8,8,9,13,26
8,9,11,39,43
8,10,14,31,42
8,11,16,27,44
8,12,18,22,35
8,13,19,30,32
8,14,21,25,38
8,15,24,28,41
9,1,1,2,24
9,2,3,40,41
9,3,4,5,27
9,4,6,43,44
9,5,7,8,30
9,6,9,31,32
9,7,10,11,18
9,8,12,34,35
9,9,13,14,21
9,10,15,37,38
9,11,16,17,39
9,12,19,20,42
9,13,22,23,45
9,14,25,26,33
9,15,28,29,36
10,1,1,38,39
10,2,2,3,25
10,3,4,41,42
10,4,5,6,28
10,5,7,44,45
10,6,8,9,16
10,7,10,32,33
10,8,11,12,19
10,9,13,35,36
10,10,14,15,22
10,11,17,18,40
10,12,20,21,43
10,13,23,24,31
10,14,26,27,34
10,15,29,30,37
11,1,1,15,23
11,2,2,39,40
11,3,3,4,26
11,4,5,42,43
11,5,6,7,29
11,6,8,31,45
11,7,9,10,17
11,8,11,33,34
11,9,12,13,20
11,10,14,36,37
11,11,16,30,38
11,12,18,19,41
11,13,21,22,44
11,14,24,25,32
11,15,27,28,35
12,1,1,6,26
