target_round,source_round,pattern_index,sorted_previous_7,anchor_A,anchor_B,anchor_C,pointer_before,selected_class,linked_A,linked_B,linked_C,reset_before_selection,pointer_after,cumulative_reset_count,used_trio_count_after,fixed_A,fixed_B,fixed_C,fixed_hits_A,fixed_hits_B,fixed_hits_C,linked_hits_A,linked_hits_B,linked_hits_C,fixed_primary,linked_primary,fixed_any_exact2,linked_any_exact2
2,1,1,10 16 23 29 33 37 40,10,16,29,1,1,10 31 34,16 19 40,13 15 29,N,2,0,3,1 4 25,2 8 20,3 6 27,1,0,0,0,0,1,0,0,0,0
3,2,2,2 9 13 21 25 32 42,9,13,25,2,2,9 12 18,2 13 30,22 25 31,N,3,0,6,5 32 38,7 11 24,9 37 41,0,1,0,0,0,1,0,0,0,0
4,3,3,11 16 19 21 27 30 31,19,21,30,3,3,19 23 36,4 8 21,18 30 39,N,4,0,9,10 31 34,12 33 36,13 15 29,1,0,0,0,0,1,0,0,0,0
5,4,4,2 14 27 30 31 40 42,30,31,42,4,4,6 9 30,2 31 33,25 29 42,N,5,0,12,14 43 45,16 19 40,17 23 35,0,2,0,0,0,2,0,0,1,1
6,5,5,3 16 24 29 40 41 42,40,41,3,5,5,4 40 43,14 32 41,3 31 35,N,6,0,15,18 21 42,22 26 39,28 30 44,1,1,0,1,1,0,0,0,0,0
7,6,6,14 15 26 27 34 40 42,40,42,15,6,6,9 38 40,26 28 42,15 31 44,N,7,0,18,1 37 40,2 13 30,3 39 42,1,1,0,2,1,0,0,0,0,1
8,7,7,2 9 16 25 26 40 42,42,2,16,7,8,14 31 42,2 34 45,16 27 44,N,9,0,21,4 6 20,5 34 36,7 10 16,0,1,0,0,1,0,0,0,0,0
9,8,1,8 9 19 25 34 37 39,8,9,25,9,9,7 8 30,9 31 32,25 26 33,N,10,0,24,8 14 26,9 12 18,11 38 44,0,0,0,0,0,0,0,0,0,0
10,9,2,2 4 14 16 17 36 39,4,14,17,10,10,4 41 42,14 15 22,17 18 40,N,11,0,27,15 32 43,17 28 45,19 21 35,0,0,0,1,0,0,0,0,0,0
11,10,3,6 9 25 30 33 41 44,25,30,41,11,11,24 25 32,16 30 38,18 19 41,N,12,0,30,22 25 31,23 29 41,24 27 33,0,1,0,0,0,1,0,0,0,0
12,11,4,1 7 14 36 37 41 42,36,37,42,12,13,16 26 36,12 32 37,17 22 42,N,14,0,33,1 13 22,2 35 44,3 15 24,0,1,0,0,0,0,0,0,0,0
13,12,5,2 11 21 25 39 44 45,39,44,2,14,15,20 28 39,3 37 44,2 10 21,N,16,0,36,4 8 21,5 14 17,6 34 38,0,0,1,0,1,0,0,0,0,0
14,13,6,22 23 25 26 37 38 42,38,42,23,16,16,4 38 45,1 35 42,23 30 34,N,17,0,39,7 31 43,9 33 45,10 12 26,1,1,1,0,0,0,0,0,0,0
15,14,7,2 6 12 15 31 33 40,40,2,12,17,17,14 33 40,2 36 43,4 12 23,N,18,0,42,11 40 42,16 28 37,18 30 39,0,2,1,0,0,1,0,0,1,0
16,15,1,3 4 13 16 30 31 37,3,4,16,18,18,3 18 33,4 10 22,1 16 31,N,19,0,45,19 23 36,20 29 32,25 27 41,0,0,0,0,0,0,0,0,0,0
17,16,2,6 7 24 33 37 38 40,7,24,37,19,19,7 13 25,24 30 42,10 37 43,N,20,0,48,1 3 17,2 31 33,4 7 28,2,0,1,0,0,1,0,0,1,0
18,17,3,1 3 4 9 17 32 37,4,9,32,20,21,4 13 16,5 9 22,8 32 44,N,22,0,51,5 11 23,6 9 30,8 35 41,0,0,1,1,0,1,0,0,0,0
19,18,4,3 12 13 19 29 32 35,19,29,35,22,22,1 7 19,14 29 44,11 32 35,N,1,0,54,10 14 27,12 40 44,13 34 37,0,1,0,0,0,0,0,0,0,0
20,19,5,6 26 30 38 39 40 43,39,40,6,1,2,3 39 42,1 37 40,4 6 20,N,3,0,57,15 36 39,16 18 32,19 22 43,0,1,0,0,0,1,0,0,0,0
21,20,6,10 14 18 20 23 30 41,30,41,14,3,7,17 30 31,10 39 41,12 14 28,N,8,0,60,20 26 38,21 24 45,25 29 42,0,0,0,2,0,1,0,0,0,1
22,21,7,6 12 17 18 21 31 32,32,6,17,8,8,19 30 32,6 10 23,4 15 17,N,9,0,63,1 5 18,2 11 29,3 31 35,1,0,0,0,1,2,0,0,0,1
23,22,1,4 5 6 8 17 25 39,4,5,8,9,11,3 4 26,5 42 43,8 31 45,N,12,0,66,4 40 43,6 42 45,7 9 23,0,1,0,0,2,0,0,0,0,1
24,23,2,5 13 17 18 33 42 44,13,17,33,12,12,3 13 23,7 12 17,8 33 43,N,13,0,69,8 37 39,10 13 19,12 15 21,1,0,0,0,1,2,0,0,0,1
25,24,3,6 7 8 27 29 36 43,8,27,36,13,14,3 8 28,17 27 37,1 36 41,N,15,0,72,14 32 41,16 20 33,17 26 44,0,0,2,0,0,0,0,0,1,0
26,25,4,2 4 16 21 26 43 44,21,26,44,15,16,21 29 40,18 26 37,10 36 44,N,17,0,75,22 24 38,25 28 34,27 30 36,0,1,0,0,1,0,0,0,0,0
27,26,5,4 5 7 18 20 25 31,20,25,4,17,20,11 14 20,16 25 43,4 32 36,N,21,0,78,1 14 30,2 4 18,3 32 34,1,0,0,1,1,0,0,0,0,0
28,27,6,1 20 26 27 28 37 43,37,43,20,21,22,4 31 37,13 28 43,17 20 41,N,1,0,81,5 7 21,6 35 37,8 10 24,0,2,0,1,0,0,0,0,1,0
29,28,7,1 9 18 23 25 35 37,37,1,18,1,1,9 37 41,1 4 25,18 21 42,N,2,0,84,9 38 40,11 13 27,12 41 43,1,1,0,0,1,0,0,0,0,0
30,29,1,1 5 11 13 34 39 40,1,5,13,2,4,1 3 17,5 11 23,13 34 37,N,5,0,87,15 31 44,16 29 45,17 19 33,1,0,1,1,0,0,0,0,0,0
31,30,2,4 8 17 20 35 36 44,8,17,35,5,6,8 10 24,17 19 33,6 35 37,N,7,0,90,20 22 36,23 25 39,26 28 42,0,1,1,0,0,1,0,0,0,0
32,31,3,7 9 18 23 28 32 35,18,23,32,7,7,18 20 34,21 23 37,1 32 45,N,8,0,93,1 32 45,2 15 16,3 5 19,0,0,1,1,0,0,0,0,0,0
33,32,4,6 11 14 19 25 34 44,19,25,44,8,10,11 12 19,2 3 25,7 44 45,N,11,0,96,4 33 35,6 8 22,7 36 38,2,0,1,0,0,1,0,0,1,0
34,33,5,4 7 9 32 33 40 41,33,40,4,11,13,23 28 33,15 35 40,4 14 24,N,14,0,99,9 11 25,10 39 41,12 14 28,1,0,0,0,2,0,0,0,0,1
35,34,6,2 9 26 35 37 40 42,40,42,9,14,14,20 30 40,7 32 42,9 14 19,N,15,0,102,13 42 44,17 30 31,18 20 34,0,0,0,0,0,0,0,0,0,0
36,35,7,2 3 11 26 37 39 43,43,2,11,15,16,17 24 43,2 9 28,3 11 22,N,17,0,105,21 23 37,24 26 40,27 29 43,1,2,0,0,1,0,0,0,1,0
37,36,1,1 10 23 26 28 31 40,1,10,26,17,17,1 9 20,3 10 29,7 15 26,N,18,0,108,1 12 29,2 34 45,3 7 20,0,0,1,0,0,1,0,0,0,0
38,37,2,7 27 30 33 35 37 42,27,30,35,18,18,21 27 39,26 30 43,14 35 38,N,19,0,111,4 15 17,5 33 37,6 10 23,1,1,0,0,2,0,0,0,0,1
39,38,3,16 17 22 30 36 37 43,22,30,37,19,5,22 24 38,27 30 36,8 37 39,N,6,0,114,8 36 40,9 13 26,11 39 43,0,1,1,0,0,0,0,0,0,0
40,39,4,6 7 8 13 15 21 43,13,15,43,6,7,13 42 44,2 15 16,27 29 43,N,8,0,117,14 31 42,16 27 44,18 22 35,0,0,1,1,0,0,0,0,0,0
